"NIG1" "NIG2" "lasso" "ridge" "null"
"emse" 0.019475289975764 0.0167765027498137 0.0197039452629995 0.0274767454981493 0.177881098784423
"emse" 0.0194259309560678 0.0171432103335055 0.0200225694779089 0.0297397320768217 0.217642753376567
"emse" 0.0205458977880903 0.0169974354011968 0.0204507447647993 0.0320765097677207 0.201491790360534
"emse" 0.0197033820133681 0.0175629449104126 0.0210315165321727 0.0303284793889752 0.215656327371196
"emse" 0.0203719541089051 0.0177927673774243 0.0204642665433394 0.0350993662353284 0.252329099029349
"emse" 0.0197273731893164 0.0173056536356134 0.0205512738531982 0.0334869346444337 0.240509795269979
"emse" 0.0182302271809723 0.0161823546202284 0.0191205644874712 0.0292321574353109 0.234605919974818
"emse" 0.018900437701808 0.0165105439967685 0.0189721934552491 0.0272974035354068 0.188246206978682
"emse" 0.0190250481970265 0.0167124772411018 0.0206005344722846 0.0289582838532854 0.204765909634391
"emse" 0.0209458994469993 0.0186556971643086 0.0218976971030134 0.0317054211344106 0.246444327793711
"emse" 0.0177974185754799 0.0154116485835901 0.0183762780485256 0.0264825753828826 0.196508982343726
"emse" 0.0210969188325236 0.0187964114405776 0.0222077970932821 0.0400501649556752 0.339902280499682
"emse" 0.0170240851827602 0.014904285324982 0.017161764892471 0.0240149923809942 0.165503019114427
"emse" 0.0204974276873347 0.0179823879013164 0.0209717428673172 0.0298139725476291 0.203188034647365
"emse" 0.019201936786561 0.0169000116716577 0.0203709489430876 0.0299694204989851 0.213151585807771
"emse" 0.018267179074495 0.0160485810385343 0.0183692354673528 0.0262816264686773 0.190678088202894
"emse" 0.0195955378051519 0.017357972915282 0.0204724207681062 0.0294258560833188 0.197905488005493
"emse" 0.0206702794650336 0.018296303515856 0.0214331498346922 0.0344914671977462 0.24081457087667
"emse" 0.0170586511141278 0.0151554994240713 0.0176964509795716 0.0259337239392316 0.174065623348189
"emse" 0.0212708189373734 0.0185029770295677 0.0218116078479499 0.0334587362374206 0.231329075589813
"emse" 0.0163983746969419 0.0143838947702571 0.016971267363398 0.0245825424921929 0.182458734647351
"emse" 0.0187140618848929 0.0164405544028539 0.0191855634485859 0.0263649183300809 0.181590779421931
"emse" 0.0205719413816466 0.0176388258063573 0.0205980073435573 0.0332023668474518 0.222374286804516
"emse" 0.0196722464509042 0.0174332473583435 0.020353326163963 0.0282055809067553 0.197118003035623
"emse" 0.0207892481519572 0.0186446157983496 0.0232059128070864 0.0327515867763088 0.263651127961399
"emse" 0.0206938315919479 0.0187228901011914 0.0214708914255605 0.0286515879679152 0.202050023639479
"emse" 0.0209313282218422 0.0183399883448858 0.022706905248403 0.0332440982936186 0.227886324228407
"emse" 0.0202479794999111 0.0172824221882205 0.0200249129646111 0.0305841672506341 0.208925309567168
"emse" 0.0189191764030915 0.0169176651147397 0.0207819909695337 0.0301126159040136 0.218081852641645
"emse" 0.0194520863513121 0.0171445824033047 0.0198688487862745 0.028335413580098 0.217295647240364
"emse" 0.0204140872965189 0.0180077856040278 0.02084423590386 0.0325785238680094 0.232313944693045
"emse" 0.0208572000134635 0.0188073574174124 0.0217557490281984 0.032845289805532 0.235373256984231
"emse" 0.0173083385656803 0.0154506744529255 0.018137584880199 0.0240001281526598 0.158748961973666
"emse" 0.0189406316367815 0.0166640541289019 0.018779190545994 0.0286496530055567 0.189530906284221
"emse" 0.0199370103943214 0.01672066704573 0.0203763948133411 0.031289234796897 0.225019405506241
"emse" 0.0204962480350634 0.0180061752517681 0.0210121722894958 0.028824216071697 0.202192897329596
"emse" 0.0215115223175464 0.0193612275611855 0.0217314425700646 0.0456562664579578 0.333473441802845
"emse" 0.0192781965033968 0.0167843807547766 0.0197289398711707 0.0303259901655506 0.204414583974776
"emse" 0.0182780550669376 0.0160533244271635 0.0189897750098363 0.0255946506218092 0.173185144838439
"emse" 0.0190730733301998 0.0167293510091091 0.019168344320967 0.027965805616556 0.189053541414589
"emse" 0.018404010139863 0.016015776459219 0.0188962762029474 0.0243568120827555 0.16414105992373
"emse" 0.0179005554162688 0.0158714447734373 0.0188074240651132 0.0292652715135965 0.213032075990507
"emse" 0.0204560825165508 0.018155469489029 0.0208534932174829 0.0324984416446083 0.238393189098253
"emse" 0.0186174370498658 0.0161137510968514 0.0188612975571111 0.0299885845771831 0.24583570091003
"emse" 0.0189936629954956 0.0169413917178168 0.0195075613899085 0.0299925317045712 0.221081217524738
"emse" 0.0217842805304502 0.0196129756152392 0.0224000454708253 0.0345039845917333 0.246803719705284
"emse" 0.0185018501244469 0.0159779527285991 0.0202481152589665 0.0287433254103561 0.204529796660749
"emse" 0.0197019699191299 0.017510491402166 0.0202788573718401 0.0339422879022086 0.252564559844502
"emse" 0.019828582705337 0.0173215800474475 0.0198993571600906 0.0318879677784167 0.236507519598461
"emse" 0.0201894466075681 0.0178217136082725 0.020311263874683 0.0304078609122805 0.220609327521307
"pmse" 1.48132222256855 1.42612014540344 1.48191343803119 1.69430439256685 19.1115651000298
"pmse" 1.55835240618384 1.51678103289581 1.57983343027874 1.82394420215225 23.112427113638
"pmse" 1.50236667531241 1.44620772265482 1.52237100815852 1.73898531024473 20.541246430256
"pmse" 1.63507420565381 1.58246754606219 1.64886475443528 1.92277408740155 21.4086056038127
"pmse" 1.49389182610727 1.44563979857943 1.49936001587308 1.85234509908619 27.6646202956317
"pmse" 1.62368497953628 1.56708254925518 1.62587865810703 1.95165266439119 25.6866172534363
"pmse" 1.47962733711097 1.43419401676287 1.49126599416578 1.76564071180402 23.5650245579295
"pmse" 1.51209803637123 1.45496767386524 1.50673369297376 1.70789340877785 19.5589556334192
"pmse" 1.49201556773935 1.4437313116144 1.51905230083003 1.74219826818411 23.8786462126733
"pmse" 1.59605998162979 1.54394026991053 1.62303807512922 1.88141389919976 26.8679283255295
"pmse" 1.43247343778643 1.37814794963908 1.43748960301488 1.64406789437728 20.3307886419653
"pmse" 1.57469945750237 1.52111556132572 1.60271364980243 2.01398172353901 28.5882386190599
"pmse" 1.3210922950937 1.27459799299011 1.33268700341841 1.50815744293674 17.5795898312617
"pmse" 1.56472668987172 1.52887278442368 1.57688491869933 1.7927989933032 20.7903087844214
"pmse" 1.53975549551034 1.48732337800955 1.56238076173311 1.81742646031741 23.7491552797122
"pmse" 1.47400447476087 1.42746991354982 1.47367851571378 1.6694522906906 21.7965883819119
"pmse" 1.6075610047382 1.56127854629928 1.63358369175734 1.89076336794174 24.3628546941576
"pmse" 1.63075242780011 1.58854860096302 1.65401526243546 1.95847122843605 24.3250937724556
"pmse" 1.3980371080135 1.35278309203714 1.40806505508095 1.59819312060465 17.8570714315756
"pmse" 1.68783949303696 1.62273160170633 1.69760624099845 1.97902184334073 23.6485042060019
"pmse" 1.33549350737871 1.28666180117666 1.34629179936718 1.53431335747541 18.3796648514892
"pmse" 1.4623099561378 1.41478716269617 1.46647824781188 1.65792565480338 17.7054985588199
"pmse" 1.51223889574499 1.46488487305677 1.52209408311979 1.77865995154697 22.339800514959
"pmse" 1.58512045911866 1.53786979031397 1.60156607945419 1.80530119844089 21.5155357585418
"pmse" 1.65011184610224 1.60032255200391 1.67175751853906 1.96169568163371 28.2950161398653
"pmse" 1.67698076203281 1.63065181149562 1.70946057442424 1.90503985115864 22.143840696821
"pmse" 1.49386099784321 1.44287824746445 1.5227663418089 1.80508656872388 24.3468245910464
"pmse" 1.53133465237346 1.47541006977809 1.53616331917963 1.79382953092588 22.2612562862011
"pmse" 1.57030871138262 1.52249249682044 1.60671537190559 1.87629420492316 24.2856367966713
"pmse" 1.5005419677676 1.44915254586544 1.50682378639622 1.74716029772959 21.5850317574047
"pmse" 1.59113683075344 1.5446641053521 1.60912299951676 1.86815098854186 23.9344283232197
"pmse" 1.70446501641999 1.65273339550837 1.7186616304122 2.03091002607129 24.967031777862
"pmse" 1.43128622703508 1.39136745004365 1.44248402249475 1.59928904393603 16.2446392355121
"pmse" 1.52416004179898 1.47292289644536 1.52982450234512 1.77866924705708 20.6009337837161
"pmse" 1.48758275898608 1.42935540267792 1.48606658662638 1.73726248298878 24.2533040448893
"pmse" 1.58839415988037 1.53987315260993 1.59505183177601 1.79444211978927 20.858120089077
"pmse" 1.72787496371317 1.67950231167562 1.73118340087271 2.31705220968446 36.2869769445416
"pmse" 1.46191155554583 1.41575727234044 1.48153327500886 1.70664974008981 21.4241122166871
"pmse" 1.50655966789957 1.4583848263999 1.51862209608008 1.65957851997671 17.6002787497573
"pmse" 1.55294335963324 1.4972543746671 1.55407816750787 1.7865623254282 23.2385071215118
"pmse" 1.51689978712082 1.46668623160771 1.52756062610098 1.66649758257779 17.0457960812559
"pmse" 1.42507551491396 1.37942572971455 1.43587017950735 1.67738590702905 21.8370019001677
"pmse" 1.56761324382038 1.51602415338167 1.568588214683 1.85776329001911 24.1879086856971
"pmse" 1.48926611573609 1.43658818018252 1.49703277338418 1.77224373928428 23.7193436892018
"pmse" 1.48978388048211 1.44073297774787 1.4955817453321 1.72819853946308 24.971570061347
"pmse" 1.72103991765788 1.66389574649988 1.73001286931441 2.04128754618267 28.1008723381686
"pmse" 1.4742756852706 1.42425304465866 1.51643628158371 1.7576639626569 24.8090476001104
"pmse" 1.57878029276684 1.52848125385126 1.57969167734742 1.91417793445194 26.3594755896391
"pmse" 1.5059538834911 1.45236311283233 1.52215078505977 1.85026126243135 24.1472985823382
"pmse" 1.53787481685176 1.48926009036352 1.54264935950851 1.76671862048908 21.9000564864115
"pmset" 0.613300195399662 0.629774900253141 0.632212604152379 0.774810888521609 18.9583226162603
"pmset" 0.653898342683234 0.669974158829651 0.673782029743036 0.862469645456051 22.9273538014718
"pmset" 0.623776075925546 0.637591882444793 0.654906858664582 0.811781114444414 20.700179976419
"pmset" 0.691868492011587 0.707621841884878 0.72802970012583 0.881258335759714 20.8596012842014
"pmset" 0.628176249658375 0.64295047070011 0.662072444453796 0.873125175976807 27.158689086739
"pmset" 0.692748283299042 0.709258842821061 0.717933836778851 0.917462591127112 24.6762648882202
"pmset" 0.607351961412626 0.62425498234193 0.640696265257643 0.814887537388381 23.0828723930142
