"intercept.1" "intercept.2" "intercept.3" "intercept.4" "intercept.5" "model1.1" "model1.2" "model1.3" "model1.4" "model1.5" "model2.1" "model2.2" "model2.3" "model2.4" "model2.5" "model3.1" "model3.2" "model3.3" "model3.4" "model3.5" "model4.1" "model4.2" "model4.3" "model4.4" "model4.5"
"1" 0.322424026202211 0.49119295213812 0.589834413201752 0.656848223063973 0.704696248678362 0.33588851439748 0.490384575769492 0.59468251957846 0.661354235259465 0.710838410821914 0.335549955385603 0.490909661825163 0.595862629994206 0.656352560738561 0.705806120438161 0.334173525111402 0.490165394704229 0.590091143204651 0.66156418168082 0.710300215712867 0.328061714550077 0.484900510555948 0.589653169252472 0.659171125190834 0.709005325584178
"2" 0.320568832800672 0.485188332443184 0.586236489444024 0.653857705416858 0.702657050197732 0.322726344796661 0.495731354496142 0.595188069035036 0.661176233932624 0.706711448536481 0.314604635431544 0.484063689486347 0.58685833558046 0.652818624143998 0.702807958021659 0.311682796846016 0.482827131030277 0.586330781524636 0.652711055910127 0.700315428293914 0.330786120082547 0.496998479030543 0.59322948705279 0.661340939684344 0.710218030452836
"3" 0.318732484260728 0.484115294299079 0.585246525027534 0.652836181787603 0.701716440391678 0.298342080552231 0.462698389931575 0.57027632369143 0.641737593690211 0.692921839329077 0.314348351945752 0.478654986474714 0.575964828988305 0.651810884202073 0.700324318808208 0.312911232648925 0.478026303033154 0.575506985404421 0.644728131325524 0.694967522596466 0.29396760509037 0.457738966125444 0.560261622498988 0.627272744209303 0.683385587212088
"4" 0.3186059327748 0.484464026706628 0.584639829902214 0.653871893863939 0.702952002202769 0.309206686604575 0.486985104130147 0.592354577770649 0.663541301317493 0.710839921757591 0.309589251448423 0.48705343274374 0.591407022575573 0.661330437362412 0.707696865689485 0.309572636726888 0.478762579191526 0.586930989420625 0.65755913807205 0.707638759119842 0.312120637915288 0.486537484443572 0.590228562581179 0.660044699275307 0.709749873628046
"5" 0.317582187396723 0.482633545421358 0.58422121051465 0.652604829692644 0.701579257439019 0.312477524028122 0.481882725629802 0.59070806382893 0.661144987265713 0.705868438455349 0.315312914199445 0.483969327713687 0.588152482717099 0.653668119152652 0.706552477219126 0.309871297663942 0.478850024283002 0.580217014361404 0.654078866294996 0.701657427944211 0.314338604954751 0.484508992059647 0.585186057088227 0.655152026128727 0.705453112309054
"6" 0.0234936051272599 0.0392664543794047 0.0632304835191093 0.0756670278061757 0.0941008723571781 0.0164197723533328 0.0298426301957703 0.0545880001488752 0.0702396804907184 0.0840653743660517 0.0146866606908053 0.0430188050403118 0.0694480355411875 0.081306515877248 0.104175855285993 0.0171347865897504 0.0328855084967711 0.0520527394821787 0.0857906848946728 0.170013295822786 0.0192800221550865 0.0375554997834323 0.0560791233642823 0.0699040268837759 0.0859156946191118
"7" 0.317341873279504 0.482502783683264 0.584136595890659 0.652545552167055 0.701635211840289 0.317258089659925 0.479312083200775 0.582473916302724 0.645770581152964 0.692943067149484 0.298193463094127 0.459105172876347 0.561092712878747 0.630757024090704 0.686050968029967 0.301467635568659 0.4618369721347 0.571575558748983 0.638714074758726 0.687701436629032 0.289936146054749 0.456008613207694 0.556577931700309 0.625252251193661 0.675905271665087
"8" 0.319025589937436 0.485094345347589 0.585590297316117 0.653339333330086 0.701741582078069 0.323487238122857 0.495324032377289 0.593907450689603 0.657698319167481 0.708607684178594 0.337095147176026 0.489175426614047 0.58952128842718 0.657426043730758 0.708065707378473 0.326576560269607 0.499080639176842 0.594223385729611 0.657535480434669 0.708759560170673 0.330700754360186 0.490517115547441 0.593468498118657 0.661429102432275 0.710528987184363
"9" 0.320003088731794 0.485825626230045 0.586636068977163 0.654963924093471 0.704755330056844 0.340311475011784 0.501381676084299 0.598380642033967 0.663823121796508 0.710443247923138 0.339427464562758 0.504262157869132 0.597334743900731 0.663370883691419 0.709859127732218 0.308784608254036 0.481564517346176 0.58514750840191 0.654744735516968 0.703566796175544 0.326366899005691 0.495651738620793 0.59724886748028 0.664201166819424 0.711777768459373
"10" 0.318390769091002 0.483634859526212 0.585134335811129 0.652439241567805 0.701645136242219 0.325422612996379 0.481584110474815 0.583827907437222 0.658676317234178 0.702828363289481 0.319633441883726 0.487893077273789 0.586959371186232 0.656681736405089 0.701519623527506 0.327452717682496 0.490342263662601 0.585152515657218 0.655960397677413 0.700863778691699 0.328020647647426 0.482111240040674 0.578995002154233 0.6528387269078 0.704064205777337
