"cram.nig" "cram.nigig" "cram.studentst" "corbest.nig" "corbest.nigig" "corbest.studentst" "msebest.nig" "msebest.nigig" "msebest.studentst" "cover.nig" "cover.nigig" "cover.studentst"
"set1.rep1" 13.3983229917886 11.6800667263424 12.1614744885858 0.994169535210009 0.994481242381054 0.994025052692836 0.0196849688627047 0.0185365306197078 0.0201146811899588 1 0.967741935483871 1
"set1.rep2" 18.5170854264646 16.5171336684282 19.1487733722431 0.992008176560718 0.992207157941182 0.99207618197839 0.0299946679210102 0.0291069281414811 0.029821920716574 0.967741935483871 0.967741935483871 0.967741935483871
"set1.rep3" 3.34128765423297 3.14712007595236 4.07830612390236 0.981479586437458 0.981439683492443 0.980893716344969 0.024843939851991 0.0248603543872418 0.0257005870928473 0.935483870967742 0.967741935483871 0.935483870967742
"set1.rep4" 7.39600283011288 7.33185287700522 8.36632270131249 0.9847677894202 0.98623901289287 0.985378738250971 0.0326853043612773 0.0296242275183484 0.0314107069158992 0.967741935483871 0.967741935483871 1
"set1.rep5" 3.209869276246 3.59800853463071 3.29719815844853 0.979777230369779 0.979472965873874 0.980258239648541 0.0357735563875861 0.036218227285617 0.0350997490111373 0.967741935483871 0.967741935483871 0.967741935483871
"set1.rep6" 3.9016612070204 4.75663147928501 4.30414192050349 0.981648143592191 0.982350472224744 0.981970423801565 0.0332107902340185 0.0318510728907223 0.0325506688537877 0.935483870967742 0.935483870967742 0.935483870967742
"set1.rep7" 6.18477833873149 7.9435283285601 6.22788639298177 0.968724101948881 0.972056832366374 0.970186677863486 0.0347933382115588 0.0314882210089037 0.0333609284587724 0.967741935483871 0.967741935483871 0.967741935483871
"set1.rep8" 4.06385380350577 4.72197960051285 4.28157097982329 0.966823412945573 0.967752004959962 0.96717681111406 0.0373874973055528 0.0362000949302081 0.0370319660970887 0.903225806451613 0.903225806451613 0.903225806451613
"set1.rep9" 1.51334918784923 1.96941092887332 1.22122246546758 0.979965292786738 0.97966296816564 0.979408632856614 0.02075330775421 0.0209447012144128 0.021199699207078 0.967741935483871 1 1
"set1.rep10" 9.7095689883237 8.60303845803134 11.7419095441355 0.983537702603189 0.983508543688427 0.982703722340128 0.0255769843857209 0.0256264192849368 0.0267022091312687 0.967741935483871 0.967741935483871 0.967741935483871
"set1.rep11" 4.53378219509809 5.3790877710036 4.75995315669547 0.98550312223057 0.985539126788033 0.985519688267324 0.0241617197462977 0.0241071163913472 0.024159781894104 0.935483870967742 0.935483870967742 0.967741935483871
"set1.rep12" 21.6292352219835 21.5737042056172 21.3413046673216 0.980768445792334 0.980642117938163 0.980503524339056 0.0456210153271928 0.0461333987329954 0.0463592313973659 0.806451612903226 0.838709677419355 0.838709677419355
