"cram.advi" "cram.vb" "corbvar.advi" "corbvar.vb" "msebvar.advi" "msebvar.vb" "corbest.advi" "corbest.vb" "corbest.glmnet" "corbest.map" "msebest.advi" "msebest.vb" "msebest.glmnet" "msebest.map"
"rep1" 932.885237738417 10.6629504317768 0.14704206455471 0.800036836492517 0.0415300804898309 0.00248442240013786 0.87812055931683 0.999306278017104 0.724118290990039 0.569156527721946 0.292088368150107 0.000854718692290686 0.571716958240829 0.542893881104037
"rep2" 704.338421731338 48.037489313876 0.159313614682041 0.737508875296252 0.0330731909213745 0.00223681470452636 0.908710152743069 0.993864255720393 0.545714540792333 0.811627326497117 0.194766929989844 0.0119255620502431 1.29387451827779 0.358065083582304
"rep3" 805.007768263777 15.8874837725773 0.100213675157456 0.729118605560596 0.0424428825741664 0.00323345157558441 0.908666192862435 0.99880915912924 0.678895692747601 0.849705376977376 0.22883455616021 0.00256266930185934 0.631040147444541 0.423874888841403
"rep4" 11595.220337866 35.2113175112612 0.114779340945096 0.783645595795934 2475.11380863422 0.00177146206392042 0.196663241448344 0.995937821926938 0.489084147972724 0.853751792731775 2.30097373032683 0.00815351278785247 1.69549390957529 0.361180385002036
"rep5" 1708.0851697875 33.6585522129789 0.229844094409383 0.719915966829892 0.0146939299696183 0.0011843443472276 0.474556756570965 0.995011106844988 0.771299618869398 0.603624380375234 0.505735466791716 0.00708200483119609 0.279091128849477 0.268482926039261
"rep6" 896.789028336016 12.0975007353037 0.156258088815626 0.780603928348536 0.0458328109544415 0.00244646619513685 0.855956037958686 0.999187422985194 0.755866962419354 0.390847040839725 0.247900594929632 0.00166949296017787 0.395147224996503 0.421705468972093
"rep7" 976.016953593773 17.7840530421309 -0.000803686997869989 0.587909507326306 0.0932188548584039 0.00371876478586227 0.602308039117131 0.998456480157377 0.682275487514642 0.8081273321606 0.334578759804105 0.00219508717164972 0.647390119227999 0.456124449882767
"rep8" 1099.03347104796 14.3289579420149 0.229408776673867 0.765109592385959 0.0375376552884236 0.00111580993522571 0.534999687420136 0.998771451439477 0.776454541136745 0.84113126536366 0.33590320011706 0.00228737698907529 0.286677657186631 0.330727091916581
"rep9" 729.236726779623 13.4751756308207 0.0328472012781732 0.79157740966774 0.0275890050464775 0.00126843922496806 0.90860100462729 0.998739084319585 0.537754152076828 0.850452925547093 0.192737752120162 0.00192148487523852 1.12525164990448 0.355713818205624
"rep10" 1773.27051014956 12.9571451112604 0.195609406665689 0.685906348953181 0.0594994649508107 0.00348640412683874 0.405205445666908 0.998844068130358 0.733828608025805 0.997883956369725 0.652409965772241 0.00141098130737821 0.53498346364127 0.00275701743721048
