"NIGfd-" "NIGfd" "lasso" "ridge" "null"
"emse" 0.133271549516211 0.133249839775901 0.133113026533347 0.145257538259695 0.214290903089672
"emse" 0.13974006022339 0.139617842827892 0.139446130904357 0.151722276407766 0.223033290237819
"emse" 0.14398386954265 0.143957529702506 0.143995811585953 0.155940661580804 0.227057771809398
"emse" 0.141516299901427 0.141454182448141 0.141400575737615 0.153932985046199 0.223771125586153
"emse" 0.115061590859929 0.11500489143221 0.115006102842737 0.125390843116674 0.189301127155587
"emse" 0.134190993938439 0.134124055604852 0.133953685091165 0.146260344317529 0.216233610306062
"emse" 0.125680444838858 0.125658781534876 0.125540511118803 0.136799159128852 0.203417818982785
"emse" 0.136065932604473 0.136031953179015 0.135946195299 0.1482436272886 0.217294729445962
"emse" 0.13468225751189 0.134629701884328 0.134409892128209 0.147274142187568 0.213893372600389
"emse" 0.136307016651101 0.136241049696831 0.136164792545813 0.148114290522428 0.219681896353211
"emse" 0.125676902106224 0.125597691102903 0.125356307882981 0.137160586186612 0.204035000419274
"emse" 0.137834133046927 0.137777856910202 0.137887339303565 0.148758635199746 0.218894878279724
"emse" 0.162441966084936 0.162400945592257 0.16243345811835 0.175023969734577 0.250541563813809
"emse" 0.144360603529867 0.144384625959713 0.144330445463048 0.155723922864676 0.225245185333874
"emse" 0.131002343985849 0.13093896372683 0.13084436582823 0.142120133288508 0.210204300859917
"emse" 0.129686329477849 0.129640745620811 0.129404291377881 0.141294276805408 0.207570984544252
"emse" 0.141420014835158 0.141324848112976 0.141273315809131 0.153292088340769 0.224203859197964
"emse" 0.133923192546679 0.133925562175825 0.13375807209805 0.146040964790477 0.215641405489498
"emse" 0.141653607618918 0.141636556753411 0.141516994419558 0.154083407685218 0.226647003720438
"emse" 0.122222560658199 0.122222483484663 0.12220885734141 0.133892763662106 0.200182421352419
"emse" 0.148382441498627 0.148315578044781 0.148293340877562 0.160794435699882 0.232558007117312
"emse" 0.154518274276677 0.154479513319597 0.154550690321849 0.167023295463945 0.24161614470498
"emse" 0.131306473679589 0.1312726662998 0.131178055683222 0.143286751409073 0.209280600790187
"emse" 0.137373517450728 0.137342730070449 0.137262434350928 0.148574093997999 0.219226033799461
"emse" 0.124069481403114 0.124019503506832 0.123806560545305 0.135939870637743 0.204101473959243
"emse" 0.136596557522467 0.136535318955114 0.136376910758867 0.148141921023981 0.217541220467502
"emse" 0.138086153122608 0.137992282396722 0.138156183688547 0.149002954089857 0.220676505730215
"emse" 0.124036865387716 0.123988146816958 0.123969889958881 0.135219423027487 0.201153012617784
"emse" 0.143781064471737 0.143682141704252 0.143832136854997 0.155385493741985 0.227766560554605
"emse" 0.142928168948401 0.142891182631635 0.142657874250324 0.155557678775761 0.226545665406758
"emse" 0.145551426277696 0.145497251898208 0.145430869177034 0.157357396675682 0.230046192404168
"emse" 0.135543071871329 0.135485423973178 0.135227060007495 0.148410278255032 0.215323023590099
"emse" 0.143479864804554 0.14341687431146 0.143284902469143 0.155371087195197 0.227101890562947
"emse" 0.120208817148337 0.120083383665983 0.12013397163087 0.130158312317585 0.196538765283457
"emse" 0.137029569389192 0.136939617525434 0.137042299589497 0.149022969811288 0.218266367213926
"emse" 0.145007794398545 0.144985889423648 0.144972911507493 0.156677727940897 0.228649811146986
"emse" 0.170709702421869 0.170670225308819 0.170413157575751 0.184674754684563 0.26274549484884
"emse" 0.114082462911767 0.114024652638268 0.113899343169245 0.124144697611186 0.18829644992894
"emse" 0.14296965958931 0.142918754078024 0.142925709871941 0.154110245370762 0.224156567989554
"emse" 0.136258978645157 0.136160578441461 0.136232224066841 0.147993020604401 0.217024449631975
"emse" 0.139502279744813 0.139477243345721 0.139426546531188 0.1513026362567 0.222354786905451
"emse" 0.160291669088598 0.160195184188063 0.160105878609022 0.172744627811883 0.248250863748843
"emse" 0.143831442045156 0.143766581731922 0.143744138514653 0.155077772083261 0.226104089253836
"emse" 0.138826625390187 0.13875554898822 0.138612162263908 0.151687707827792 0.22026423876758
"emse" 0.125005571120266 0.124964076005857 0.125016209740478 0.135604627924886 0.200377375566995
"emse" 0.121908585413039 0.121866844448687 0.121642648249473 0.133013729779301 0.195950205948666
"emse" 0.145076674802666 0.144943668200402 0.144910440100849 0.157478579086942 0.227544276724037
"emse" 0.15640125565584 0.15629446339834 0.156070836981685 0.169515528894283 0.242406055949783
"emse" 0.138987197067088 0.138830081118883 0.13870224933883 0.151417979439228 0.220479270004337
"emse" 0.140750120288777 0.14065579108149 0.140647017798741 0.152396894108745 0.222962610114444
"emse" 0.126982191897596 0.126953078259895 0.127015523687714 0.138174750562092 0.207222629871723
"emse" 0.120870750645798 0.120811121043897 0.120640721285551 0.132568453443536 0.198125630808238
"emse" 0.150737719656706 0.150644240660202 0.150527153375081 0.162418524285438 0.23315355811315
"emse" 0.124263097003006 0.12421322514934 0.124192545935315 0.134839420491728 0.20131891427693
"emse" 0.140944265210958 0.140910096543126 0.140780069035964 0.152678685161163 0.223914733803972
"emse" 0.126688675560456 0.126614677585437 0.126454436313057 0.137720245896604 0.205379760557145
"emse" 0.143242359936071 0.143203946661485 0.14315543208124 0.155219245492031 0.225707209356256
"emse" 0.147041917305369 0.147005404486251 0.147015489120634 0.159733102705407 0.231027746380411
"emse" 0.133120656314646 0.133094862446287 0.133067195442328 0.144545819044326 0.211206766937382
"emse" 0.168311340032789 0.168245438901355 0.168135348951306 0.182457511477101 0.260724421718405
"emse" 0.131335173324235 0.131308679969588 0.131230193754737 0.142520229542287 0.209316152847989
