"nreps" "n" "p" "gamma" "sigma" "ctalphainv" "lambda" "ztthetainv" "kappa" "eta" "xi" "vars" "kurts"
"set1" 100 100 200 1 1 0.5 1.5 0.652839080148331 4.21685983186054 10 4 0.5 4
"set2" 100 100 200 1 1 1 3 0.652839080148331 2.06041396078943 10 8 1 4
"set3" 100 100 200 1 1 2 6 0.652839080148331 1.56856290194297 10 16 2 4
"set4" 100 100 200 1 1 0.5 0.214285714285714 0.192615158668444 0.278629901603744 4.85714285714286 1.42857142857143 0.5 10
"set5" 100 100 200 1 1 1 0.428571428571429 0.192615158668444 0.250476621142711 4.85714285714286 2.85714285714286 1 10
"set6" 100 100 200 1 1 2 0.857142857142857 0.192615158668444 0.237624849694947 4.85714285714286 5.71428571428571 2 10
