"alpha1" "alpha2" "alpha3" "alpha4" "alpha5" "lambda1" "lambda2" "lambda3" "lambda4" "lambda5" "lambda6" "lambda7" "lambda8" "lambda9" "lambda10"
"rep31" 0.0950969462214382 0.390121470661481 0.566849897808345 2.02967373333682 2.16963221120089 0.719173725933467 2.39933381534083 0.982276149435924 0.714491176412113 9.39285409049604 4.47815378688776 0.650205233959925 1.38203673300703 0.918093308474783 0.107098665899764
"rep32" 0.0859392862589023 0.194711705578385 0.942598840940587 0.800345463423806 3.68454627518168 2.89915131772267 0.447064312776581 3.74460855468194 0.414321723338845 1.61033591319013 1.14790349469878 3.81435834791296 1.10756029275471 0.460194522323105 0.899963088739155
"rep33" 0.0798160449203283 0.045940954936876 0.430103954654188 1.31205852771989 2.91614939905489 0.122497550336223 0.239065991430893 0.357578805425477 3.07662473127402 0.20774830657255 7.94126754468509 2.12815802465168 1.85567890836359 2.61474041282708 1.18976087372449
"rep34" 0.221209928610019 0.15503047534836 0.866038552516556 1.15392166014376 3.1238479562455 6.19226376285977 0.580938565997318 1.89264239740457 1.92816968876774 1.40527556911736 0.674336863318505 1.43354713259641 10.504837569459 1.23514654124085 0.543396497260788
"rep35" 0.0954319948102301 0.223160226536385 0.753751066405812 1.57047875224595 2.66367597875981 0.112649744778545 8.16022948216859 0.704040467672892 4.26115866299813 3.2715166382948 0.175462836434725 0.359411254747797 9.18858562891411 1.88023338208138 1.84696021136976
"rep36" 0.0165976122113766 0.277326868004115 2.06773666360828 1.15859200606 2.53718389976137 3.02002610967329 0.584897197573997 0.811089006786589 0.265651316145269 2.7073524793573 2.17838304581392 3.61749607026341 1.11839296729536 1.16883204002856 0.786973410249859
"rep37" 0.0155793810908548 0.0727272148481448 0.264584972929225 0.623704115106358 4.82008337910274 0.171809795832021 0.86325923647451 1.48350446682437 0.27331156415872 0.547294106991817 1.34376516484975 2.92635976122425 0.499465282722255 0.909289410479115 1.61242265005422
"rep38" 0.105625508931016 -0.0198103134328482 0.268176786370579 1.06641680144829 5.21444007288757 0.588697801258997 1.88680353574671 1.21657416299506 0.71649542472086 2.5218715859189 0.669881267482652 2.55796377797108 1.98534954379999 9.16297805268135 0.669909302563436
"rep39" 0.0359035399582364 0.0667847940427679 0.37365746696849 1.8776028055847 4.18827725792137 4.30925194765333 9.05436167674361 1.23724943444163 0.642824489982207 3.69289490391783 0.400605289196726 1.14739639388407 0.703127859175503 1.19639858536865 0.303234839118297
"rep40" 0.00421992795428821 0.192926082428142 0.643331888394709 1.73457861019366 1.98016971837303 0.183322780650712 2.76607269534039 0.265872191112439 2.58933395848199 0.590800623194873 0.685273432868185 0.913892264655069 0.337524448789996 1.29051980765028 0.954592760148267
"rep41" 0.0674047573510891 0.190520850945158 0.292111089233044 0.976045555172646 4.90129363845969 6.62438080036123 0.870865845898057 0.861806762313339 4.13294156131263 2.45189741126078 0.936126416952734 0.311877253205134 2.18258087632182 1.08148598540733 1.09962003701232
"rep42" 0.0890514257418785 0.10855766904116 0.672270624359498 1.59664507868872 2.47580203969024 0.563556986538941 1.85721302429158 1.45136621264162 0.191442078915721 3.74847333788701 1.53693656693059 1.21272895745898 0.671933596319138 2.46711771827912 0.146556188215341
"rep43" 0.147134545079777 0.371116782111839 0.940619025653285 0.744120761631976 3.60415813112297 0.73196573860645 1.89743921686166 9.43606512339546 1.73992095254499 0.406372088482353 6.38565817016828 0.289823008861417 0.813387074933441 6.56571534489527 1.75379019447517
"rep44" 0.0707469733403572 0.132691801227712 0.641330843158551 1.09705892282274 3.71153447472992 0.967827381197506 1.66787894318349 4.07289211316163 0.169761405080135 0.5758921569571 1.28244121137668 1.26729294857843 2.42275880555752 0.662007279904997 4.00087769640901
"rep45" 0.131435523084341 0.0538183587453382 0.610380522709401 2.31873267119373 3.60075532940842 1.02874554631749 2.45059328702857 1.14506191144001 14.2258167995282 1.40136239870187 6.82341839530036 1.91564247044635 0.384500872232003 3.23540100341387 9.78089841791551
"rep46" 0.00782883089253667 0.126605839372455 0.597957540420861 1.9132086897143 3.85539924357917 1.68272233407841 1.4668197850943 3.20511770560897 4.61683980695652 3.88533185998021 5.57187876070732 0.215163980934712 0.585648564027439 0.18213745812558 0.466332605192531
"rep47" 0.00696403071006187 0.432931342851157 1.29441946391994 1.97796867056076 2.01350597511502 1.11670574688211 0.914170094497292 0.552215775929089 0.811929461468004 2.7395261018807 1.760193907439 1.48366550937612 0.619282063858096 3.49524456183285 0.436742902295096
"rep48" 0.0280715051301808 0.41690261849988 1.19720077135006 1.7416903215364 2.2423167199412 2.09557300888098 0.497627649301454 1.88423217475329 0.963107040398853 0.961490059768706 1.26653818932576 1.05129378759469 1.70375711044956 1.89153206357 1.29856380001627
"rep49" 0.00432639530270205 0.399983062863876 0.305904418191419 0.892376912586178 3.86238820211675 0.376236606541237 1.61317740824407 0.875872080277218 0.276840214124175 2.21242922632672 5.57196480400907 0.131733057579372 0.563349975636815 4.52667812710422 1.0142494053935
"rep50" 0.05747022204298 0.246878056437969 0.835351991546791 1.38183422410438 3.46475031721931 2.81963313646436 0.247393606214478 1.93721068364458 1.4749642305924 0.0904952771332382 2.07868358902113 5.21934171182195 7.47070141275361 2.27313943965572 0.659632602903321
"rep51" 0.041041359961947 0.0306709971895046 0.487035959789783 2.49723957397881 2.75886819474704 0.331049199848774 0.907607518420788 1.92088870906775 0.639418118451536 0.212855959434316 3.99335283167693 1.72638057157021 1.17550860608389 0.339194563655732 6.23735491470309
"rep52" 0.161612911946167 0.221437792519702 0.812604016890702 0.734512624303185 2.71897816832427 0.424075380703893 13.6448131216481 6.41826688554645 0.0945134614115936 2.4634919731998 2.3987455279515 4.82785562559411 0.249353481630968 0.771407891672958 0.164483975821808
"rep53" 0.137953388923097 0.0444869104934119 0.395395008317125 1.34746019754389 3.7136629573814 6.70513610171866 2.56904783449724 0.433507596589859 3.43108277213515 1.43224385057177 3.61610925536553 0.145809475031821 4.44708153087702 0.286451378815007 0.997842508701347
"rep54" 0.0611150369169784 0.223981145876092 0.770477054754666 2.69068484044008 2.35008951741385 10.5998392445381 2.28997621084894 2.72979058228016 4.68480697001629 0.85927843032647 2.28346409779537 0.904951136168702 0.766143875677686 1.17759149573638 0.116056711837844
"rep55" 0.0123579897470913 0.175283438950151 0.759644801886331 3.45395562831627 1.35477060212083 2.05328212176512 0.69819992919545 1.96337925135297 2.08441777411371 0.319571710183438 2.50998828578798 1.11386163088938 1.29114557716727 0.215694441910013 0.400164756938957
"rep56" 0.08718998543548 0.0732456422141296 0.354894293822627 2.05694612736414 3.6774967512398 0.860973301005408 0.127543522995303 7.03550194220377 0.556379654515958 7.35898464578231 12.4568922634345 0.636833974646992 1.71118363626428 0.93932927570472 2.28785233492636
"rep57" 0.0185315078207057 0.219590099949549 1.57916505885398 1.05246009802355 3.55155276990865 1.06621459497075 1.90188476335946 2.07922355749473 0.330134181949766 0.311631880329898 3.06690936397155 2.46685649514322 2.12743441367127 1.64538443474355 2.64987989179297
"rep58" 0.0841674585762321 0.0146841476370273 0.591500397895349 2.57271903144622 2.66529215781801 0.310559002701943 0.499221724675289 2.35982497659828 0.506271572330551 6.26051267001066 0.8040843074329 1.59602103378851 2.73474734740625 2.42558095653364 2.10576828849618
"rep59" 0.0138860774527268 0.133058224052549 0.701324077012539 1.10567438984033 3.86163096216148 1.77725721915117 1.38833436986037 0.275996431354935 2.71613401120954 0.247695848011518 0.648762929056591 2.22070440972691 1.08169442301997 2.30259000134372 1.13142408899098
"rep60" 0.0352816594508196 0.130536551428854 0.517466927479249 1.55528211897263 2.51191589390025 0.205065541687358 1.46436236271708 0.755193590581367 1.52360814364736 2.99865780636206 0.079645806295232 1.94590511747638 0.553468039484336 0.590086200256525 3.35974698432476
"rep61" 0.0254714205110277 0.393831346871978 0.709890543750187 1.97205114278218 3.01815673511949 0.470824491048355 5.50811130225466 1.88809861146537 0.314868057058202 0.302068639106737 1.13227878368176 1.07208055081366 2.3456170430408 3.69880276533375 2.72078535258009
"rep62" 0.0118368801387405 0.135697243676098 0.463161203823788 3.29966541505315 1.84053169482355 1.01320502963577 0.903575270892214 1.30916278199591 3.90814905327317 4.3706413250593 0.850778105912373 0.534886945374809 2.3381109840003 0.384023413198106 0.534730325886684
"rep63" 0.0588619304790366 0.174779368672381 1.39842533633442 1.85315483874571 2.33869320416554 0.0909667360289327 1.56153508599794 2.56066984125578 1.38513145389027 0.505082331023712 0.374604893500609 12.1435427230976 1.4556207158373 1.96778017023367 5.24121750994149
"rep64" 0.00337214095598845 0.168578620692382 0.721380127029654 2.51009310373386 2.06137896512332 2.44929846796006 4.33837577974748 0.414107307937554 0.903237277607477 2.25153745112981 1.26322140738768 1.00274963252682 0.341509196037507 0.779772465123686 0.129876693118398
"rep65" 0.0556092425598441 0.250433513775041 0.578628460529239 2.41900110746647 2.92184569556899 3.80275347356675 0.265201739875247 0.577373838743129 3.39157311820911 1.35512977023075 2.6534239311308 2.40944759823634 7.49357011868265 0.159075129357129 1.02106173597207
"rep66" 0.0620069285662092 0.119366326501961 0.464261189447879 1.48322922563419 4.31171423425748 0.942521621246423 1.21737411598642 9.64605049515951 0.287122669361354 0.539887787229221 3.64836683875953 4.7567352513776 5.62168740506087 0.361442092623428 0.623279586616484
"rep67" 0.00950492320793554 0.386207297401154 1.10614028492078 2.56593203848486 2.10247043664042 1.63178979787871 0.284386621536441 2.88112772612976 3.55559819084127 1.56785645253431 0.334674086206424 0.617966405630796 2.66445154549394 1.07475966778001 3.85737853700329
"rep68" 0.0526455036957193 0.15690529392691 0.159609978878997 1.99178516983446 3.99039041400773 5.41500816420183 2.29284941564648 2.64389476889247 0.251592036608481 1.58157966133131 0.0770801082993551 1.93078975883004 5.57301902525054 1.4125215507772 1.14417016484125
"rep69" 0.0491698003927874 0.146161698028883 0.624777018409442 1.27491884079405 4.4845259139419 0.276421632572508 2.05154824725634 0.355270776331834 0.610412924722653 1.83996714827529 1.77532058381251 1.79939395613786 3.13317029997735 2.27390153177573 1.27227849346537
"rep70" 0.0745409014849373 0.223171316104731 0.421890803049993 0.431849605117455 4.76093818322837 4.32490270514262 0.766037386347576 0.0982988957688737 1.35420942031367 0.837829228559777 0.709636634196552 2.42228098818413 3.56477165620644 0.505311265191981 6.49577297327355
"rep71" 0.0073158203442741 0.18076090957734 0.379686447596831 0.744396080046181 4.16743712245589 3.47202831361464 0.355849241493645 1.17927835124985 0.136770035273863 0.344773456320007 2.83597580067526 0.436754240214266 0.708393437172686 1.20555605617244 2.88116848703051
"rep72" 0.0245602593895663 0.14331328000028 1.11597463112387 1.11632142716587 3.48268065053091 0.549509016282095 0.32475176867 3.48999079820282 0.20795187753291 0.399251351867013 4.8293147070971 1.64597443396673 0.852830400678955 6.12622631368995 1.26010918882491
"rep73" 0.00198765707420093 0.199075451055615 0.264516703019196 0.445656575851508 4.86762176586371 0.424587021491428 1.5846472026771 1.3028074592096 0.903891956118455 1.94697504199059 0.788309934294085 0.145866952163078 0.503619431738073 1.16453693635833 1.48707279280054
"rep74" 0.0290745902121413 0.340209647045433 0.420549532338645 1.70257218721512 3.83934330462557 0.802590690085665 0.595172764626951 0.227451454009685 2.47079846703641 6.71953771002543 0.707139618499819 4.34678020695229 1.55432392372298 2.55224249577139 0.767590680010577
"rep75" 0.0194887996405631 0.272300289347649 0.457207031275204 1.06525218332376 3.67942020527954 0.361283463427369 0.635757511716403 0.274629440662039 1.34487818225549 0.130055105002128 3.70237440146333 0.729888726531726 5.22345111417703 3.67705934336444 0.659890146716115
"rep76" 0.00687762941169867 0.11557957835825 1.28889204584851 0.879828230863793 2.1614231538332 2.24212892101691 0.372112539803908 2.11553614028021 0.70866129745587 1.35400499307741 0.325626362679581 4.31850723043443 0.139855597500898 0.231746340443647 1.05251365439926
"rep77" 0.154545227590512 0.30618696886386 0.393193217244184 2.3130130351228 2.43548765660172 4.24478639417095 4.96236798054535 3.8302997399591 0.635433954302792 4.88777562285134 4.13111153317336 0.753421752815318 1.38593257080116 1.88403378319798 0.0897839311407038
"rep78" 0.00831523558744982 0.173336914045743 0.633179348374372 0.872971660835399 2.94585343850347 0.889152143580484 1.83135782826263 0.0792807739877443 2.56196281899011 0.831123490918636 2.6952361712657 0.238684959298012 0.266321677439174 4.56080490736439 0.331323916056282
"rep79" 0.0210297561642808 0.0719137423483215 0.683908329939651 2.65230469363302 2.57602095458933 1.54390657219374 2.09769496388042 1.4506870627812 1.98366861495185 2.32955386097759 1.05440936498039 0.160096607843128 0.384411165676092 0.414558938811273 0.527524015212404
"rep80" 0.0617188737503202 0.140367673876598 0.648514365162004 1.2695167033643 4.21091070854605 0.271280685925839 3.95763724414442 2.56938577162019 0.429882748915585 1.56649849943575 2.06147858789403 2.91627563050397 0.911713109774808 0.411347520492748 6.56387893186038
"rep81" 0.0112200578520156 0.111287230515302 0.593710689654386 1.75819646082124 3.25619762195089 0.983321289181095 5.8638570535998 0.62094803918492 1.72004051486932 5.69821411677299 1.94236894246194 0.0771137396077127 0.184259440291429 1.37276569187115 0.479463416148842
"rep82" 0.00251183008969365 0.371304715800954 0.387694957365595 1.46351526489026 4.71970053295565 2.7841813322231 1.09232401824552 1.90427305804253 4.1950219454952 1.56750513804424 1.95903246603271 1.78058133768952 0.497937030260605 6.78226340560341 0.17619348750074
"rep83" 0.0145283242765394 0.255966188603618 0.673187217862901 0.322724246723373 4.18654505125123 1.36277846787776 0.479823848893798 1.26917209140572 0.908802060424945 0.89177418986532 1.31142250989397 1.82459851777996 0.182976752179918 0.80146096374362 5.5973470752549
"rep84" 0.038776014218081 0.163662784526511 0.743336095320281 1.5892856778542 3.32002307991131 2.32049179391208 4.3551306428947 9.22086902246051 0.273542049784805 5.22110442993351 0.903464214771781 0.702382997335951 0.155535997593674 0.768462590147631 0.475924278811374
"rep85" 0.0706194007700003 0.114111682965028 1.58962756498299 1.74210895590366 2.62006378414789 2.27418659903921 0.754396313467708 2.64390568744814 0.320444612573255 0.357843021245403 3.16678964486727 1.34045726674849 0.710468976024839 16.2054021068419 1.17052657910341
"rep86" 0.0207404940482431 0.43585829030854 0.852436594705511 1.88760458928367 2.09803442412746 1.62774993209794 0.509130609752088 0.261813660324169 1.74310380851144 9.34359886009575 0.593939705181178 1.47417102204817 0.162819746265391 2.25714891875861 1.28156661607124
"rep87" 0.00700905684449871 0.0955655855412819 0.493897545684377 1.9064883803984 4.30667132837957 0.906478443327245 1.10456005017326 0.422060570425571 4.34155427067073 1.89670640580989 0.931836878619132 0.861002540489096 2.11859488658787 0.440761650884296 5.55190150119528
"rep88" 0.0428626880860176 0.102870837711918 1.08789983254665 1.16613952429226 3.34495053328151 1.04258932122759 0.457850986319494 0.347329120006574 0.408437204400906 3.74215673950918 0.837138659854912 0.71177857100772 0.762458758628997 1.2958266836703 4.6025865282466
"rep89" 0.0288479280042615 0.104457547509757 0.238504284298142 2.00036715206973 3.80963520982355 0.402487660268656 2.92531764572674 0.921948750986299 1.34816725226851 12.7760182368632 1.06012959570439 9.21921568188442 0.090469957686146 0.30309946873931 1.90034444397466
"rep90" 0.0433885914463248 0.446996323976771 0.530837870031277 1.09994189314587 4.46863862615888 1.24193523637943 1.08834803291136 0.695602581270454 1.01718291179539 0.550115158194946 6.78894679885789 5.7372948629917 1.81392471524499 0.711681138843101 2.46419644396533
"rep91" 0.0867062078819493 0.0838567705348778 0.696002161741416 1.00487444814919 3.64108173909974 7.06773320163131 1.00804788019612 0.353703443311698 1.00604263185081 0.607990861814608 4.62138429607637 2.45948928326747 1.71954551249099 0.514025006315562 0.123883806126745
"rep92" 0.0317880859002801 0.150908909913639 0.817119866541542 1.73560221774709 3.05513551534362 0.506233247530117 0.226819833046895 1.76157333562736 1.49466866355659 0.169886278504641 1.02476652162536 2.7356991324652 1.55615579617914 5.26275444389895 2.06852703204255
"rep93" 0.0538171464706695 0.276980846675191 0.819916958673151 0.805318152981898 3.91986261613608 2.15099887384431 0.316614560559037 5.04163361564939 1.38800862658868 1.41069477410936 3.25385037190111 3.13427420800955 0.0963567494978937 0.29010964951677 3.75133635124201
"rep94" 0.0583736425131453 0.352840435129275 0.831556755970713 2.41961464304463 2.50216315478907 0.187728065044867 1.48609510627761 0.717898097675514 7.53982361470878 1.11438918082123 7.9368980396456 0.872956443709723 4.04793410844474 0.566902685313793 1.84985527213642
"rep95" 0.102271085622443 0.0848084788718329 0.191577775888286 1.09746927521577 4.35072010137302 1.4153986512184 11.0851518141658 3.89093630295527 0.37197606461953 2.09405976959764 1.00288427651816 0.133864078958235 0.579996808870052 0.960553637000744 1.61024096184996
"rep96" 0.0185820166801158 0.258564005840114 0.985902494744281 0.86197876228561 4.09539417040883 4.11661788242254 0.966099509091904 3.57018399332771 1.18966319747293 0.532120519923707 0.511586720013095 3.24613610759155 0.0672088530620646 3.65732662928235 2.56961870771199
"rep97" 0.209395441640563 0.294717465197738 0.875262846089072 1.67679275491282 2.3371260161321 13.8045957546075 0.289427126379204 0.323768801024739 1.83777459386699 0.475232015602827 4.09425134706263 1.14052503581226 3.29037441980374 2.59278044791427 4.76120920108509
"rep98" 0.0463336472103893 0.192359438364347 0.38429096814926 3.10442085073259 2.54623743691399 6.96377655159568 2.11879475603657 0.888209400822376 0.799397040302341 2.49451759504443 0.992005204504164 2.43343227570594 4.01517290375742 0.114817904737074 0.862932082215602
"rep99" 0.0157717018154834 0.381527107464789 0.847401285872124 1.90156470079154 2.58474642681687 0.970553862602475 1.0806740176689 0.159797600310546 1.34721096557222 2.11173142139187 1.61673335703932 1.42795150042541 2.26867452128418 0.652426794324628 2.67968666416516
"rep100" 0.161294148379943 0.182497107993995 1.40714952106657 0.921836406307531 3.25149794041862 0.603957544217143 3.48824433643053 5.23566136341115 1.05441443747082 0.292423974934946 1.07976378712543 2.50237611031715 5.41072359710841 2.70262705342558 4.18867428084231
