<<<<<<< HEAD
"nig1" "nig2" "ridge1" "lasso1" "dss.nig1.1" "dss.nig1.2" "dss.nig1.3" "dss.nig1.4" "dss.nig2.1" "dss.nig2.2" "dss.nig2.3" "dss.nig2.4" "dss.lasso1.1" "dss.lasso1.2"
"pmse.drug1" 0.726960514651972 0.726857900276994 0.72782397781082 0.759350815501609 NA NA NA NA NA NA NA NA NA NA
"pmse.drug2" 0.535830092715292 0.535968687951873 0.538531038373444 0.573215633853164 NA NA NA NA NA NA NA NA NA NA
"pmse.drug3" 1.05726473255593 1.05594995368936 1.01979061068722 1.06323871298815 NA NA NA NA NA NA NA NA NA NA
"pmse.drug4" 0.731310663538002 0.732065451039135 0.741132940632088 0.818684971481454 NA NA NA NA NA NA NA NA NA NA
"pmse.drug5" 0.677823819311473 0.679202433102504 0.67955632757217 0.759366959869033 NA NA NA NA NA NA NA NA NA NA
"pmse.drug6" 0.652734355696778 0.652835355878877 0.654884614028567 0.671498950954967 NA NA NA NA NA NA NA NA NA NA
"pmse.drug7" 0.747264893045739 0.746854711520026 0.733420148504899 0.775436975794772 NA NA NA NA NA NA NA NA NA NA
"pmse.drug8" 0.697122130130483 0.696266137241379 0.702758179205978 0.679764843082717 NA NA NA NA NA NA NA NA NA NA
"pmse.drug9" 0.985433874716465 0.985619990830731 0.956338699881092 0.962405330954777 NA NA NA NA NA NA NA NA NA NA
"pmse.drug10" 0.749792814506014 0.74977069232933 0.751551602941773 0.754471362643372 NA NA NA NA NA NA NA NA NA NA
"pmse.drug11" 0.912128560872952 0.911897523340537 0.936033669790503 0.931033482148952 NA NA NA NA NA NA NA NA NA NA
"pmse.drug12" 0.705077700185798 0.705150124546074 0.708540451050228 0.738823435363846 NA NA NA NA NA NA NA NA NA NA
"pmse.drug13" 0.829723235846269 0.828658399615703 0.815684745373495 0.816125528613234 NA NA NA NA NA NA NA NA NA NA
"pmse.drug14" 0.817002344067005 0.816947941512918 0.820074226121971 0.8697949233453 NA NA NA NA NA NA NA NA NA NA
"pmse.drug15" 0.855434530202088 0.854852656220322 0.840990710773331 0.946187417605485 NA NA NA NA NA NA NA NA NA NA
"pmse.drug16" 0.653148758770046 0.653801869223418 0.659561017247422 0.744337575066632 NA NA NA NA NA NA NA NA NA NA
"pmse.drug17" 0.726551040630619 0.726692975036577 0.749940379246731 0.780887095406074 NA NA NA NA NA NA NA NA NA NA
"pmse.drug18" 0.705749242136627 0.705629452591135 0.70605616965913 0.764195977157148 NA NA NA NA NA NA NA NA NA NA
"pmse.drug19" 0.769137848860056 0.768517404674174 0.76022358690992 0.783467882772492 NA NA NA NA NA NA NA NA NA NA
"pmse.drug20" 0.679860294290302 0.679438637116024 0.710502663875072 0.730464889946098 NA NA NA NA NA NA NA NA NA NA
"pmse.drug21" 0.93674857048772 0.939546600877402 0.911210568621421 0.893430955182118 NA NA NA NA NA NA NA NA NA NA
"pmse.drug22" 0.91154441938683 0.91511303171797 0.898511698169789 0.906490629152345 NA NA NA NA NA NA NA NA NA NA
"pmse.drug23" 1.14306416015411 1.13823128864609 1.13980398191784 1.08913532983065 NA NA NA NA NA NA NA NA NA NA
"pmse.drug24" 0.818725652946425 0.821125695788889 0.812280757358576 0.843167712321029 NA NA NA NA NA NA NA NA NA NA
"pmse.drug25" 0.627734890778138 0.627525462203556 0.626940761682995 0.628105966612413 NA NA NA NA NA NA NA NA NA NA
