"chifisher" "pfisher" "harmonic"
"ENSG00000000003" 453.841577149534 9.70025588885559e-63 4.54378136429546e-18
"ENSG00000000005" 131.358711634684 1.2977655348836e-07 0.00443018485955175
"ENSG00000000419" 167.945237562167 1.2455353825269e-12 0.000897201550217559
"ENSG00000000457" 122.451431678206 1.64282770743598e-06 0.00128320984120199
"ENSG00000000460" 137.846244608617 1.89170467273278e-08 0.000279691231657087
"ENSG00000000938" 303.556703959568 5.76794520616658e-35 7.4114399222871e-11
"ENSG00000000971" 102.004956440702 0.000319794851028601 0.00501067849354116
"ENSG00000001036" 259.57207209725 2.66243351776835e-27 6.96964892250018e-11
"ENSG00000001084" 104.313102311134 0.000184423801091009 0.00214128056556087
"ENSG00000001167" 308.150944317589 8.80284211697983e-36 2.17742807278395e-07
"ENSG00000001460" 144.788094650551 2.25865812350571e-09 2.92338997866758e-05
"ENSG00000001461" 88.4184581817513 0.00618112169218437 0.0408218095978443
"ENSG00000001497" 98.7063787523408 0.000686695473414122 0.0413379378376966
"ENSG00000001561" 127.167516114436 4.35383519322576e-07 2.33125641752444e-05
"ENSG00000001617" 181.627392554554 1.15177101797109e-14 0.00119929475917449
"ENSG00000001626" 82.1594492153558 0.0201476416917419 0.0298764467251181
"ENSG00000001629" 144.588668851357 2.40296826285826e-09 0.00661875121886186
"ENSG00000001631" 37.0936700090688 0.985236194042193 0.340362951562761
"ENSG00000002016" 86.9022025071622 0.00832526385861165 0.0667446474349029
"ENSG00000002330" 234.425090913257 4.56496941247356e-23 1.45304445052459e-06
"ENSG00000002549" 102.904796989016 0.000258420272911932 0.0486672935062777
"ENSG00000002586" 97.4909009535876 0.000903767149285955 0.00854417422532583
"ENSG00000002587" 164.117448261214 4.47743857082768e-12 0.000214902637145648
"ENSG00000002726" 94.8302431303124 0.00162665646257275 0.00647214411486393
"ENSG00000002745" 68.803916874748 0.156757098261674 0.0827014642923758
"ENSG00000002746" 108.636437910449 6.36464313378913e-05 0.0427615196542148
"ENSG00000002822" 227.311782638161 6.8161078372256e-22 1.3499159612026e-06
"ENSG00000002834" 217.627123268846 2.5897255831123e-20 5.23420757999397e-05
"ENSG00000002919" 108.387574620245 6.7741946394534e-05 0.000193801196317284
"ENSG00000002933" 151.991665549044 2.33372368718131e-10 0.000172758154788992
"ENSG00000003056" 114.421604120896 1.43982967976161e-05 0.00520294965005298
"ENSG00000003096" 81.5339784036494 0.0225113292078009 0.110910556071575
"ENSG00000003137" 95.8084690211666 0.00131343825965361 0.0223393329183588
"ENSG00000003147" 87.7052079006051 0.00711690466321827 0.0166916197130778
"ENSG00000003249" 229.120737023441 3.43580826077997e-22 4.94120837367454e-05
"ENSG00000003393" 114.857606208184 1.28373336611441e-05 0.0553472451225549
"ENSG00000003400" 131.217468220451 1.35239781717486e-07 0.00124003718716461
"ENSG00000003402" 75.1074892135177 0.0648688059323924 0.0420283746667598
"ENSG00000003436" 131.112680392887 1.39438260898543e-07 9.12631550705343e-07
"ENSG00000003509" 75.5687299653645 0.0604336297807378 0.0820220950909421
"ENSG00000003756" 181.894988300427 1.04927336917274e-14 0.000116256332584461
"ENSG00000003987" 81.2696516768894 0.0235821844161986 0.0492178279597023
"ENSG00000003989" 70.4117585852935 0.127130147533064 0.081153468031224
"ENSG00000004059" 123.935033565913 1.08621607325549e-06 0.00745498782467049
"ENSG00000004139" 105.677260656564 0.000132432792226799 0.000370239491618428
"ENSG00000004142" 62.6731178110528 0.31408688564274 0.171235343710596
"ENSG00000004399" 105.868868546958 0.000126370859512922 0.021924750953712
"ENSG00000004455" 114.619376181893 1.36686376772577e-05 0.00812461151897063
"ENSG00000004468" 382.196671457644 2.9272289881518e-49 2.99697531086139e-12
"ENSG00000004478" 73.3184345095902 0.0847061328776391 0.0736032623931874
"ENSG00000004487" 91.0722523757997 0.00360904578586512 0.0214849713147076
"ENSG00000004534" 214.353464123151 8.75064419423845e-20 6.9108810602726e-06
"ENSG00000004660" 98.8810502467909 0.000659911566068766 0.0126226482776501
"ENSG00000004700" 113.508298902092 1.82884820558568e-05 0.00194628246677993
"ENSG00000004766" 112.923129701671 2.12984418326049e-05 0.0390409716323893
"ENSG00000004776" 67.1953686572161 0.191172666720498 0.178095680938018
"ENSG00000004777" 278.784696445458 1.29911478551064e-30 3.55946086062853e-09
"ENSG00000004779" 73.185925864884 0.086353168464079 7.00572777970705e-05
