"nreps" "n" "p" "D" "nclass" "alpha" "C..Intercept." "C.factor.rep.c.1.nclass...each...D.nclass..2" "C.factor.rep.c.1.nclass...each...D.nclass..3" "C.factor.rep.c.1.nclass...each...D.nclass..4" "C.factor.rep.c.1.nclass...each...D.nclass..5" "theta" "gamma" "sigma" "SNR"
"77" 100 100 200 100 5 2 1 0 0 1 0 0.2 0.447213595499958 1 10
"78" 100 100 200 100 5 3 1 0 0 1 0 0.2 0.447213595499958 1 10
"79" 100 100 200 100 5 4 1 0 0 1 0 0.2 0.447213595499958 1 10
"80" 100 100 200 100 5 5 1 0 0 1 0 0.2 0.447213595499958 1 10
"81" 100 100 200 100 5 1 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"82" 100 100 200 100 5 2 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"83" 100 100 200 100 5 3 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"84" 100 100 200 100 5 4 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"85" 100 100 200 100 5 5 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"86" 100 100 200 100 5 1 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"87" 100 100 200 100 5 2 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"88" 100 100 200 100 5 3 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"89" 100 100 200 100 5 4 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"90" 100 100 200 100 5 5 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"91" 100 100 200 100 5 1 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"92" 100 100 200 100 5 2 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"93" 100 100 200 100 5 3 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"94" 100 100 200 100 5 4 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"95" 100 100 200 100 5 5 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"96" 100 100 200 100 5 1 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"97" 100 100 200 100 5 2 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"98" 100 100 200 100 5 3 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"99" 100 100 200 100 5 4 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
"100" 100 100 200 100 5 5 1 0 0 0 1 0.166666666666667 0.408248290463863 1 10
