"set1.cram.nig" "set1.cram.studentst" "set1.cram.nigig" "set1.corbest.nig" "set1.corbest.studentst" "set1.corbest.nigig" "set1.msebest.nig" "set1.msebest.studentst" "set1.msebest.nigig" "set1.cover.nig" "set1.cover.studentst" "set1.cover.nigig" "set2.cram.nig" "set2.cram.studentst" "set2.cram.nigig" "set2.corbest.nig" "set2.corbest.studentst" "set2.corbest.nigig" "set2.msebest.nig" "set2.msebest.studentst" "set2.msebest.nigig" "set2.cover.nig" "set2.cover.studentst" "set2.cover.nigig" "set3.cram.nig" "set3.cram.studentst" "set3.cram.nigig" "set3.corbest.nig" "set3.corbest.studentst" "set3.corbest.nigig" "set3.msebest.nig" "set3.msebest.studentst" "set3.msebest.nigig" "set3.cover.nig" "set3.cover.studentst" "set3.cover.nigig" "set4.cram.nig" "set4.cram.studentst" "set4.cram.nigig" "set4.corbest.nig" "set4.corbest.studentst" "set4.corbest.nigig" "set4.msebest.nig" "set4.msebest.studentst" "set4.msebest.nigig" "set4.cover.nig" "set4.cover.studentst" "set4.cover.nigig" "set5.cram.nig" "set5.cram.studentst" "set5.cram.nigig" "set5.corbest.nig" "set5.corbest.studentst" "set5.corbest.nigig" "set5.msebest.nig" "set5.msebest.studentst" "set5.msebest.nigig" "set5.cover.nig" "set5.cover.studentst" "set5.cover.nigig" "set6.cram.nig" "set6.cram.studentst" "set6.cram.nigig" "set6.corbest.nig" "set6.corbest.studentst" "set6.corbest.nigig" "set6.msebest.nig" "set6.msebest.studentst" "set6.msebest.nigig" "set6.cover.nig" "set6.cover.studentst" "set6.cover.nigig"
"rep1" 29.5033729853769 40.103428793075 33.218895330215 0.698194870626701 0.704164304943354 0.699600646404752 0.647210332464658 0.637736668578639 0.644899329911463 0.950248756218905 0.965174129353234 0.950248756218905 31.9986904381988 100.577005613909 32.8614098237248 0.698399831691794 0.710875204102729 0.700835755126636 0.646665326311028 0.624720861922454 0.642410949567898 0.950248756218905 0.940298507462687 0.955223880597015 32.7582782551108 54.1339044109517 31.5724178740426 0.69878123657928 0.712580193609956 0.70094545223522 0.64598549892488 0.621589310495588 0.64215625501594 0.950248756218905 0.965174129353234 0.950248756218905 42.4424007467161 87.4723669629986 39.6328900028777 0.697272257707769 0.711310603455522 0.699710805638945 0.648765454483041 0.628150103704288 0.645074108437646 0.950248756218905 0.950248756218905 0.955223880597015 33.3644044131036 476.867377955468 36.0325255704206 0.698964581862823 0.638420072551804 0.698717174051137 0.645732084615301 0.756914609652518 0.646140751347823 0.945273631840796 0.90547263681592 0.950248756218905 43.1502207527741 188.308412749836 31.6257143195591 0.699940371152838 0.700299492347364 0.699863567956184 0.643943062934403 0.643357034837047 0.644072281408654 0.950248756218905 0.935323383084577 0.955223880597015
"rep2" 97.4756785167865 99.868209855634 89.3376498772631 0.689435847434599 0.696432079785823 0.693311747886151 0.565859295874862 0.555983685795063 0.560097499146874 0.940298507462687 0.945273631840796 0.950248756218905 98.8478668607953 108.288235755986 91.4256652152417 0.692337459256648 0.694019320231846 0.695986704883001 0.56158322417361 0.558987098343289 0.556077438864021 0.940298507462687 0.935323383084577 0.950248756218905 106.473462465493 112.526291304584 102.242026997394 0.687029909796349 0.694996814872277 0.689108598432345 0.570102024665777 0.557758806076514 0.566919416532851 0.935323383084577 0.950248756218905 0.940298507462687 98.0143133622047 160.054499931102 97.5006401373144 0.691496064075553 0.693867627275366 0.690243553681345 0.562981074114251 0.566733812501654 0.564909945181276 0.940298507462687 0.940298507462687 0.935323383084577 94.0051836559177 166.410766977056 92.2321241007227 0.693914164447279 0.689438918764495 0.694015412452366 0.55953690336493 0.57269162752133 0.55900895385726 0.945273631840796 0.945273631840796 0.930348258706468 95.2312936851625 222.217038554701 99.8202377442188 0.68836277677973 0.670997183978741 0.690592028921699 0.567633474634194 0.592896425854889 0.564497278302242 0.950248756218905 0.940298507462687 0.940298507462687
"rep3" 11.719050186751 18.9593811407787 11.361009914868 0.712790757768824 0.707012969671508 0.71195016729965 0.517609645936665 0.526251889536713 0.518632116893918 0.945273631840796 0.950248756218905 0.950248756218905 13.1095874954856 27.9782706464311 10.7404221040852 0.713878540782338 0.707245461061805 0.714189417259873 0.515513675200838 0.525369840195694 0.515063178794751 0.955223880597015 0.950248756218905 0.955223880597015 10.4763220038935 41.9438685811841 11.7854170269918 0.716748276336964 0.699299905709044 0.712194213161429 0.511132649530424 0.537323111136729 0.517944263874817 0.965174129353234 0.950248756218905 0.965174129353234 16.4385420366511 76.6339538975762 553.973562492073 0.7167233872574 0.696053569438192 0.675137839138295 0.512753122640683 0.544038512226098 0.58061757435848 0.960199004975124 0.935323383084577 0.915422885572139 11.9524773064859 78.5937245409474 14.4776111408804 0.715224187884484 0.684026575206755 0.715500815769282 0.513796373198133 0.559284244303455 0.513225826928663 0.955223880597015 0.940298507462687 0.960199004975124 12.5181379248707 70.5097545015714 10.3853497340638 0.713269596774922 0.688823929142105 0.714609839082284 0.516370012816935 0.552404884115692 0.514346915268692 0.940298507462687 0.940298507462687 0.950248756218905
"rep4" 16.7116843900637 23.9853813112827 20.8982246739611 0.742209810352245 0.74004702156762 0.742740923592881 0.414468157470954 0.417570781724213 0.413756491904347 0.970149253731343 0.970149253731343 0.970149253731343 35.6329477377906 39.5683501916828 21.3924893533202 0.746457334443904 0.737131468177605 0.740249700380316 0.408721172366869 0.421534433860025 0.417291604801168 0.975124378109453 0.980099502487562 0.975124378109453 17.7190164303571 37.043283982829 19.4508786011647 0.739062041991236 0.736476238280584 0.741228985079555 0.419172323627961 0.422807799300752 0.416202004669547 0.970149253731343 0.970149253731343 0.970149253731343 23.2401980519863 141.733375149868 23.9524621043641 0.742556201807626 0.710979245502415 0.741968243848451 0.41411968003418 0.456559979783478 0.41498904658013 0.975124378109453 0.955223880597015 0.970149253731343 26.2451933884278 82.9349554225747 26.2917879790234 0.741049421129945 0.725980442974793 0.736159518849208 0.416068276991495 0.437720732747875 0.422794441450822 0.980099502487562 0.960199004975124 0.975124378109453 89.2290081693874 63.8886316203924 19.2821118397242 0.741003744115254 0.728526734109432 0.741670439589787 0.416379503722223 0.433026469473547 0.415468983177927 0.960199004975124 0.970149253731343 0.980099502487562
"rep5" 48.1194278746662 57.396274584077 48.292555189744 0.609025670125441 0.596896834997413 0.606743534022043 0.655149796712918 0.670200129751744 0.657865114041809 0.890547263681592 0.870646766169154 0.870646766169154 556.436173574554 71.7717283681938 45.5345838487098 0.544689808012162 0.580478130138052 0.607530930582785 0.744890103505008 0.690471113530004 0.656647489544931 0.840796019900497 0.875621890547264 0.885572139303483 43.9332014504927 70.8464902750356 45.7752495547687 0.609087856801922 0.578183331046337 0.610589183842549 0.654660355624691 0.693812609247397 0.652758911478391 0.890547263681592 0.880597014925373 0.885572139303483 61.161923306738 132.238681695488 48.1614008774236 0.607480598739435 0.565492386212539 0.60823415533727 0.658918643841176 0.709449119273697 0.656250214362237 0.885572139303483 0.895522388059702 0.885572139303483 89.4047043216406 576.67941232693 44.5348970950494 0.605690617584009 0.488642634051584 0.605686829267916 0.659011475583624 0.80950457514578 0.659047839085457 0.875621890547264 0.791044776119403 0.895522388059702 48.6635160130495 127.977727134899 51.5359851911015 0.601642616815262 0.557008885864711 0.612104099852425 0.664176897980004 0.718301205109427 0.650843755285577 0.880597014925373 0.865671641791045 0.885572139303483
"rep6" 28.6889699787531 40.3241176768678 30.036885094169 0.710268418975312 0.704804611938117 0.711044999611652 0.481287589949256 0.488903617131785 0.48022464900276 0.960199004975124 0.970149253731343 0.980099502487562 28.9610384997818 50.1371071546304 31.6018585907694 0.707793693498592 0.698610586906463 0.708216349064188 0.48479666503749 0.497512341579153 0.484357529454887 0.970149253731343 0.970149253731343 0.975124378109453 30.9705156638125 44.4562421488888 29.6880888425863 0.702033132418422 0.701327033614696 0.707577563082393 0.493281003872844 0.494162087276908 0.485457256076565 0.965174129353234 0.970149253731343 0.970149253731343 72.9584294321066 153.709796264955 32.3915867667166 0.706674986402231 0.687592086030753 0.709300446630952 0.486810488615565 0.51371714435975 0.482689540873281 0.955223880597015 0.955223880597015 0.975124378109453 33.6605730625563 267.622292498945 29.8582550004887 0.705448656584068 0.634875307994229 0.705552325661017 0.487933565276638 0.582218458331889 0.487891838797491 0.970149253731343 0.90547263681592 0.970149253731343 45.4469251166407 77.3296580819145 28.1558297082709 0.699789148962276 0.692255026304005 0.714122445004795 0.495879719317002 0.506010802802526 0.476174253278492 0.965174129353234 0.965174129353234 0.975124378109453
"rep7" 32.4795182033757 43.0183205096988 30.2881119788978 0.754483345306453 0.747003887581941 0.75339857074309 0.41348472507784 0.424248084953202 0.415004635482271 0.995024875621891 0.990049751243781 0.990049751243781 33.7200354308784 50.5604616986815 35.0715022853585 0.75243697629884 0.740146199685009 0.745195160243976 0.416288886200052 0.434116549629435 0.426814272824038 0.995024875621891 0.985074626865672 0.990049751243781 29.2563564129735 59.8568216822004 28.0240208651108 0.751659544273582 0.737626200663957 0.752526551968331 0.417522018041942 0.438103356315286 0.416260101132265 0.995024875621891 0.995024875621891 0.990049751243781 32.3206339207278 158.522332108643 29.4717129050408 0.755111061910581 0.728647380878939 0.750924691449297 0.412733241675865 0.450430256229451 0.418642364635464 0.990049751243781 0.965174129353234 0.995024875621891 28.1925533120075 200.605482807398 27.256358698251 0.753530718484775 0.732027735066967 0.753724306220454 0.414882985043536 0.44537631114367 0.41443043486595 0.990049751243781 0.985074626865672 0.995024875621891 28.5599701400412 103.211883359023 26.7601800693149 0.752263667803524 0.725611522220791 0.756588778785365 0.416542938721336 0.454472765074174 0.410299762856862 0.995024875621891 0.980099502487562 0.990049751243781
"rep8" 13.7642240883298 21.6059989108284 88.0822241651136 0.671326798882427 0.666049788221924 0.664675078329841 0.51789812857627 0.524735474693967 0.525992674528579 0.935323383084577 0.925373134328358 0.935323383084577 12.7791227518381 30.4381970633694 13.2235389303204 0.671665481102019 0.653100022008014 0.670373462184234 0.517195412686489 0.540475224440339 0.518828157638043 0.930348258706468 0.925373134328358 0.925373134328358 14.3848651897098 35.9544727171039 14.0200224075495 0.671616139841049 0.648500620056123 0.669373874584614 0.51724733166312 0.54655489022298 0.520084488048148 0.920398009950249 0.930348258706468 0.920398009950249 34.0408411029451 72.302694119919 18.0283816721696 0.675125353380447 0.642312213380008 0.668332851868768 0.513493284157742 0.554637026827558 0.521617972957088 0.930348258706468 0.935323383084577 0.925373134328358 14.6699316170995 69.9372435496124 13.3046553814804 0.67116664179363 0.629088357147477 0.672042312431945 0.517817844638412 0.569683122524937 0.516798028185822 0.930348258706468 0.920398009950249 0.930348258706468 11.8536838838916 65.3813204425413 15.0169721154048 0.672738368024042 0.634034259987859 0.668509617383164 0.515853121744122 0.563675704468763 0.52118432214532 0.925373134328358 0.940298507462687 0.930348258706468
"rep9" 46.831717932184 63.6729047857054 43.2823944818144 0.655096212020575 0.658227553553095 0.65841661382087 0.606288026471162 0.602471559893093 0.601693411849204 0.930348258706468 0.930348258706468 0.930348258706468 43.2057839746709 62.6461171393244 46.3874275552856 0.658669429018568 0.656339413396633 0.657713080731648 0.601112816966163 0.60437150123424 0.602425326657973 0.930348258706468 0.915422885572139 0.930348258706468 44.5083150441108 74.2142907433183 46.5482082872968 0.65501541935729 0.649738793251882 0.657825801526144 0.606191623639505 0.613598792552771 0.602261760790704 0.925373134328358 0.920398009950249 0.925373134328358 51.1456856753432 122.138138145575 50.4381751167031 0.658604645948911 0.642326662610794 0.659337886140529 0.602113375158308 0.6245460525586 0.600537722423057 0.925373134328358 0.890547263681592 0.920398009950249 43.0419823969523 108.049317376825 48.7413294467496 0.65797284507911 0.646255028273816 0.660989326264274 0.60206231662234 0.619275936344469 0.597921731727917 0.925373134328358 0.920398009950249 0.925373134328358 67.5841411745521 119.141810697918 48.838751311151 0.657819376372492 0.64080868196454 0.661669488846093 0.602266276866548 0.625901912520043 0.596887734517902 0.925373134328358 0.90547263681592 0.935323383084577
"rep10" 22.5884055610961 31.7477157123585 363.34836142414 0.757283819389488 0.760805116766793 0.71747928526958 0.472145405811305 0.467453028219995 0.538587050998896 0.970149253731343 0.980099502487562 0.955223880597015 21.5182073247777 43.2275814585386 25.0493827523441 0.753675638316172 0.760360712819669 0.759696899634612 0.477428882993338 0.466679591313745 0.467505506232355 0.970149253731343 0.970149253731343 0.985074626865672 18.7426963172803 50.056600703535 25.3508492259642 0.757859606686696 0.75740653214104 0.756815066009156 0.470348976390038 0.47107280664658 0.472069274590749 0.975124378109453 0.975124378109453 0.985074626865672 57.4818355513354 83.5372387663082 26.0849975310138 0.761041253652161 0.749520453454269 0.755291475554254 0.466395396081352 0.487129747141523 0.475858870329411 0.975124378109453 0.975124378109453 0.980099502487562 31.2560928272103 109.697898585909 23.463368629002 0.755872874906414 0.754357748060311 0.757932543775336 0.474303406362669 0.477843243437355 0.470695041974816 0.975124378109453 0.960199004975124 0.965174129353234 26.3946325506184 95.4135939918825 21.2778141068433 0.755568811531319 0.753696837854734 0.758307954624088 0.474341422404686 0.479485158707462 0.469600386065226 0.975124378109453 0.980099502487562 0.980099502487562
