"NIGd-" "NIGd" "lasso" "ridge" "null"
"emse" 0.0228337503894893 0.0228545993051421 0.0260365943898639 0.0500680891519931 0.447177497115492
"emse" 0.0233817695560069 0.0234106498643286 0.0265144090327776 0.0560648914533051 0.537261056898944
"emse" 0.0208047454863837 0.0207948414588864 0.0237332521518318 0.0461976285614979 0.405810979953854
"emse" 0.0244144427750607 0.0244162137398386 0.0274473447164785 0.0565416006564342 0.520372395568084
"emse" 0.0246384340996198 0.0246163071392196 0.0287051468137286 0.0574196117581095 0.485435075720724
"emse" 0.0251461503966584 0.0251751860663368 0.0284425104327709 0.0529605715412047 0.476612009025013
"emse" 0.0218606355123966 0.0218635205996631 0.0282475050768835 0.0498125779862403 0.464363514258868
"emse" 0.0271541916132899 0.0270802910797168 0.0308607592638581 0.060620903889698 0.486835654966991
"emse" 0.0254093821702872 0.0254060612396078 0.0300007165380525 0.0587785160341508 0.512441785518068
"emse" 0.0205522762562194 0.0205544592479528 0.023315421790342 0.0433950876509564 0.360205105255459
"emse" 0.0223496569477627 0.0223684953996197 0.0268023268292499 0.0499385314640213 0.418728535138909
"emse" 0.0211676196316635 0.0211454165469739 0.0264031203605997 0.0568500176794473 0.508250989792026
"emse" 0.0213611082119791 0.0213680303032996 0.0249542693017748 0.0501752022562412 0.44043241164892
"emse" 0.0255520707278338 0.0255550796163143 0.0320310930052561 0.0563323484806893 0.473125328645913
"emse" 0.0225179559319579 0.0225352192111191 0.0270356832258114 0.0539043009657262 0.477556644321677
"emse" 0.0215667611580865 0.0215768883289039 0.0263691212898495 0.0468939835545486 0.426604150368988
"emse" 0.0236844272406214 0.0236650257244582 0.0299660390126206 0.0576643791819169 0.545042827563249
"emse" 0.0225592064960559 0.0225820508189471 0.0254150142234316 0.0517686222869926 0.504223664545556
"emse" 0.0209239160356827 0.0209117608359472 0.0259688040643389 0.0448099172881092 0.39345382621137
"emse" 0.0260352193772909 0.0260379917986077 0.0319596543542487 0.0639304823264981 0.574945917079799
"emse" 0.0225995937422242 0.0226039805311493 0.029176533620787 0.0643642654038075 0.621863921699611
"emse" 0.0229065517949987 0.0228957749885597 0.027758726179428 0.0566136560292769 0.506635702702775
"emse" 0.0233509182736705 0.023365459797976 0.0257240995965688 0.0477432619285451 0.409514471357291
"emse" 0.0212847220482832 0.021257854981736 0.0255856944170096 0.0479752190577558 0.407774562575646
"emse" 0.0253506226928628 0.0253675288986222 0.0288264781991213 0.0518263845586698 0.509423340323043
"emse" 0.0206987162634431 0.0206734909995462 0.0284163133039951 0.0494375185402055 0.43629700777466
"emse" 0.0277026276397977 0.027695044907587 0.0371338957630412 0.0680588065026776 0.590387553863682
"emse" 0.0255931847025905 0.02558773022943 0.0295279691737528 0.0518150919290434 0.410357852132404
"emse" 0.0227218311330513 0.0227248396995042 0.0261987825632956 0.0470751443572194 0.461762297157815
"emse" 0.021558448332657 0.0215615285971884 0.0246625799258665 0.0437343041806846 0.407902269091898
"emse" 0.0252153158558572 0.0252171858942226 0.0305946241608949 0.0527659645544084 0.427228894536817
"emse" 0.0304303139112095 0.0304207095403516 0.035409566475644 0.0717834595260713 0.624594065351211
"emse" 0.0241734832645351 0.0241278521718126 0.028619723833452 0.0605042413943924 0.512134907092405
"emse" 0.0238945028964687 0.0238464200099635 0.0279261264320363 0.0480635607364085 0.401689186397073
"emse" 0.0212848927604801 0.0212427984986568 0.0241722390396152 0.0371675924583502 0.310420493369634
"emse" 0.0231935319384264 0.0231585362774296 0.0276184698180079 0.0478514961744039 0.401618809946818
"emse" 0.024510030105048 0.0245484847651983 0.029916221570191 0.0713511225038277 0.646051432142137
"emse" 0.0243168380096371 0.0243121914291933 0.0284932253096188 0.0636424605291663 0.57790259236938
"emse" 0.0211068050828341 0.0211014630481288 0.0242303733036459 0.0404695122427128 0.338006340242755
"emse" 0.0213526289997003 0.0214290632841793 0.0257181960454594 0.0429993492844892 0.371473237044979
"emse" 0.0231703864143111 0.0231829635521561 0.0265434682235158 0.0496292521232706 0.445030368714824
"emse" 0.0234300933359726 0.0234183794849648 0.0256157558587204 0.0458443360711367 0.401793568388645
