"nig1" "nig2" "ridge1" "lasso1" "dss.nig1.1" "dss.nig1.2" "dss.nig1.3" "dss.nig1.4" "dss.nig2.1" "dss.nig2.2" "dss.nig2.3" "dss.nig2.4" "dss.lasso1.1" "dss.lasso1.2"
"pmse.drug1" 0.715680054570718 0.713152255631181 0.737380254603838 0.738784882506636 0.72232227199919 0.728141640857594 0.748957813445789 0.726246269000285 0.719458219950962 0.725463503022384 0.746787911575729 0.724984486333403 0.760965508860218 0.726715676086795
"pmse.drug2" 0.36977562612753 0.368120763975483 0.418374290885123 0.505574848039865 0.378002366349405 0.454368427626182 0.554735882345882 0.408938677702807 0.377517149046265 0.453673204370993 0.547803179183102 0.408875906270362 0.618724590869948 0.454613689394794
"pmse.drug3" 0.900645623949549 0.900149216305215 0.973684210526316 0.974662928231567 0.90169286603637 0.892547855398552 0.902517167186133 0.915513210750399 0.905943235252737 0.900135858605903 0.904225592283881 0.914141222094122 0.970679522820965 1.01477258149388
"pmse.drug4" 0.730047664227737 0.730506320634836 0.746318259385357 0.777899696600032 0.775482181859318 0.768807231737696 0.770469830821805 0.775482181859318 0.7803009239937 0.770842822438531 0.771616559825902 0.780058304207603 0.769757045478535 0.741046766817374
"pmse.drug5" 0.664218418608787 0.661512663770021 0.708321070884984 0.755770139577097 0.667233232546775 0.673109244824489 0.728233056983539 0.667294839505192 0.6667708306631 0.674437613306807 0.73295864571119 0.668253471160515 0.725859827218084 0.768588096280456
"pmse.drug6" 0.613440056894917 0.612036227716261 0.636740355261472 0.657971603549145 0.613151870845364 0.642584486695191 0.681789107627005 0.612852082345805 0.61228184435388 0.642945411488578 0.688698348078657 0.613576913998661 0.725744424699069 0.57540112548882
"pmse.drug7" 0.887595526569324 0.886489314690979 0.917535372426151 0.884080055143021 0.88290598178387 0.862396704104887 0.840067099781561 0.868510729720551 0.884251201789214 0.857385071716443 0.836516986608329 0.867960958030191 0.84000513368896 0.955408853714868
"pmse.drug8" 0.866289234971296 0.867131050287404 0.900715784557969 0.865999544046964 0.856678750321282 0.848851262262545 0.893350270219159 0.839785584397248 0.857923533139428 0.845255567083436 0.892372533837968 0.83760951108047 0.885930518924323 0.856868127412248
"pmse.drug9" 0.963657111458097 0.961545148254728 0.885197057750999 0.844109108869836 0.951958514906275 0.850407940069949 0.863095952394598 0.924601131508866 0.952953913027342 0.849732819289269 0.862032437033605 0.920426491714837 0.848313384404552 0.947779242589429
"pmse.drug10" 0.870930029038717 0.864951739163302 0.775265424950695 0.802549664759593 0.864019714302266 0.818937955804982 0.810159373106374 0.833338957367411 0.855673171516607 0.818282022012859 0.810102981960307 0.825008968488327 0.726041264329727 0.668286621579423
"pmse.drug11" 1.00402782197262 1.00700591618218 1.04570974209616 1.02756885141167 0.992951117529994 0.992200634567886 0.99745333833047 0.995863419535403 0.992444879842194 0.996236046719418 0.998415262278624 1.00341075886769 1.00239626300729 1.07270027682485
"pmse.drug12" 0.919074055493226 0.920179511758189 0.923589720059386 0.897196494420056 0.909674562400108 0.879767596315794 0.868747713346849 0.88563941633065 0.907786992101799 0.873660621597136 0.866364342496098 0.879656189421426 0.867924433191491 0.922870415379059
"pmse.drug13" 0.68627904377542 0.685585381516125 0.684410043076702 0.703997067036071 0.683668590777652 0.677667576614496 0.70758793712504 0.661763003792707 0.682213819651567 0.677949530653626 0.706251205838124 0.667211025376303 0.707432075232041 0.702186912478651
"pmse.drug14" 0.780865029173619 0.781248264912995 0.841966039415796 0.869389166234507 0.788732154710557 0.865971030038294 0.837180963877859 0.800687252280754 0.789503655056306 0.86632008989278 0.837272773532778 0.804699565687269 0.866943878760359 0.86132783943204
"pmse.drug15" 0.657622334948811 0.658078747448322 0.72501655371274 0.765225534028593 0.670967800173487 0.737047796343369 0.756040307699077 0.661546057837544 0.676693467573224 0.739446993350091 0.758430281702112 0.663479345542407 0.77311819557104 0.772872175487892
"pmse.drug16" 0.624367075471479 0.625954621544415 0.659021627873932 0.624259660962746 0.577598111247076 0.576255533111982 0.589178631631986 0.577587327565759 0.581141344535417 0.583956468772076 0.598179249741648 0.581141344535417 0.627178372576035 0.740003380214749
"pmse.drug17" 0.873671373004539 0.868258871005445 0.842370830277445 0.856625404609125 0.870755288632613 0.880125343110508 0.862666012667248 0.873899340949608 0.860380004926115 0.867200943387145 0.852282637981827 0.862664476181646 0.860078754807069 0.877033561516891
"pmse.drug18" 0.846115361083264 0.845531186833177 0.897584925167631 0.907806984879264 0.850701773694225 0.885992857820855 0.905159309974787 0.881037996592004 0.850305918150153 0.884922706652751 0.905108487844489 0.879660367200231 0.88763499980499 0.930456299651988
"pmse.drug19" 0.666392248197528 0.663543957551568 0.680367879700669 0.696302206216841 0.672081886486307 0.714088926173289 0.71368051214369 0.704641300224925 0.666076689210224 0.7142090950891 0.713756278316026 0.701829495011069 0.699733060965514 0.742137122756388
"pmse.drug20" 0.942438276046913 0.93921188078897 0.909236384134013 0.915148162057594 0.942857443321372 0.913543233686316 0.903632500934209 0.898315708417024 0.940476635410326 0.913271799212622 0.904135274246074 0.898895968694557 0.910675816446512 0.91381242286644
"pmse.drug21" 0.880071293897038 0.87657640520667 0.821817581210418 0.845416910670573 0.873600298016062 0.850089116831943 0.845403882925851 0.870249001357422 0.865350425663066 0.850557489655765 0.845785434064756 0.865553826245609 0.828571579439184 0.910608381381161
"pmse.drug22" 0.874241483741595 0.877945576864505 0.880653349456968 0.880486557149538 0.861339217714516 0.841864373873245 0.833800178975016 0.854987461888789 0.865723446099943 0.851502336223552 0.841088324975688 0.851444549963941 0.869141221937925 0.83499059812646
"pmse.drug23" 0.96178174123889 0.957860438650546 0.968726356722871 0.972760099498981 0.981623292963794 0.966078611672026 0.966365151245087 0.96913073176544 0.970177485658967 0.958425587432546 0.958817669733769 0.94719400628923 0.96335406712917 0.987853794575653
"pmse.drug24" 0.655236703295705 0.652561755247179 0.652626638354392 0.665612029831633 0.654620024644407 0.660657353457655 0.712176451462701 0.658733641700585 0.65131822761918 0.659641707009957 0.716835590831305 0.657893992170941 0.731368660793614 0.646408009297734
"pmse.drug25" 0.61255677062164 0.610936560581498 0.625955216915033 0.624467966347802 0.61430460174874 0.615544039151973 0.621963812443637 0.598003037470155 0.610711733624737 0.615365316293143 0.620813730033305 0.59549219459851 0.627788879917113 0.591193107372505
"pmse.drug26" 0.884748035388038 0.885120558695233 0.924278506892571 0.903347118089757 0.887748689438145 0.88281353446608 0.867928926267571 0.862831441498318 0.892250947708045 0.886784969490084 0.86813228266911 0.865396003940702 0.88478619302328 0.886400603691192
"pmse.drug27" 0.561764982968561 0.551632049970408 0.522219122411225 0.572456408813381 0.560982455699106 0.574778117668623 0.601793693026876 0.566448123982541 0.550767023062334 0.563106194700421 0.597114658590434 0.560827451940538 0.612730089776781 0.562767444814732
"pmse.drug28" 0.723431885846141 0.722231560407205 0.724670063266075 0.712888719647958 0.711920314349319 0.710029967522597 0.709806865103996 0.700830699150646 0.713028356066701 0.710203738861252 0.710203738861252 0.701531992515371 0.715118409486022 0.737540727828749
"pmse.drug29" 0.874015579130378 0.874504335910031 0.953661697903307 0.957044282259278 0.899653851974393 0.939553946631626 0.930446466563565 0.905442720570371 0.894024885734494 0.940213477215252 0.930857169546871 0.905456339170055 0.953234941797039 1.00483725642931
"pmse.drug30" 0.870952355528212 0.867794021155635 0.898349235125416 0.895964668470387 0.885891578060251 0.869150720650125 0.921439250660792 0.866823065723933 0.884021921129511 0.869721529625389 0.917090709370006 0.862437786702287 0.955166638312248 0.860312738301104
