"set1.cram.nig.advi" "set1.cram.enig.advi" "set1.cram.dnig.advi" "set1.cram.enig.vb" "set1.corbest.nig.advi" "set1.corbest.enig.advi" "set1.corbest.dnig.advi" "set1.corbest.enig.vb" "set1.msebest.nig.advi" "set1.msebest.enig.advi" "set1.msebest.dnig.advi" "set1.msebest.enig.vb" "set2.cram.nig.advi" "set2.cram.enig.advi" "set2.cram.dnig.advi" "set2.cram.enig.vb" "set2.corbest.nig.advi" "set2.corbest.enig.advi" "set2.corbest.dnig.advi" "set2.corbest.enig.vb" "set2.msebest.nig.advi" "set2.msebest.enig.advi" "set2.msebest.dnig.advi" "set2.msebest.enig.vb" "set3.cram.nig.advi" "set3.cram.enig.advi" "set3.cram.dnig.advi" "set3.cram.enig.vb" "set3.corbest.nig.advi" "set3.corbest.enig.advi" "set3.corbest.dnig.advi" "set3.corbest.enig.vb" "set3.msebest.nig.advi" "set3.msebest.enig.advi" "set3.msebest.dnig.advi" "set3.msebest.enig.vb" "set4.cram.nig.advi" "set4.cram.enig.advi" "set4.cram.dnig.advi" "set4.cram.enig.vb" "set4.corbest.nig.advi" "set4.corbest.enig.advi" "set4.corbest.dnig.advi" "set4.corbest.enig.vb" "set4.msebest.nig.advi" "set4.msebest.enig.advi" "set4.msebest.dnig.advi" "set4.msebest.enig.vb" "set5.cram.nig.advi" "set5.cram.enig.advi" "set5.cram.dnig.advi" "set5.cram.enig.vb" "set5.corbest.nig.advi" "set5.corbest.enig.advi" "set5.corbest.dnig.advi" "set5.corbest.enig.vb" "set5.msebest.nig.advi" "set5.msebest.enig.advi" "set5.msebest.dnig.advi" "set5.msebest.enig.vb" "set6.cram.nig.advi" "set6.cram.enig.advi" "set6.cram.dnig.advi" "set6.cram.enig.vb" "set6.corbest.nig.advi" "set6.corbest.enig.advi" "set6.corbest.dnig.advi" "set6.corbest.enig.vb" "set6.msebest.nig.advi" "set6.msebest.enig.advi" "set6.msebest.dnig.advi" "set6.msebest.enig.vb"
"rep11" NA NA NA 1.86493232959201 NA NA NA 0.99558195075516 NA NA NA 3.54841616241696e-05 NA NA NA 2.32342512034289 NA NA NA 0.994658190286304 NA NA NA 4.45466868044683e-05 NA NA NA 2.11928342180528 NA NA NA 0.995083605359251 NA NA NA 4.15277054750961e-05 NA NA NA 14.2280523072316 NA NA NA 0.957706960501982 NA NA NA 0.000357562318336505 NA NA NA 13.9733825653431 NA NA NA 0.959163014557482 NA NA NA 0.000356455840777209 NA NA NA 14.0113736817878 NA NA NA 0.960040522667959 NA NA NA 0.000355460411239354
"rep12" NA NA NA 1.59478662335333 NA NA NA 0.996750060063805 NA NA NA 2.91924800231715e-05 NA NA NA 1.78306736734463 NA NA NA 0.996558887407845 NA NA NA 3.1995162154717e-05 NA NA NA 1.53164232529135 NA NA NA 0.997132676763547 NA NA NA 2.69927690958803e-05 NA NA NA 10.0499713009328 NA NA NA 0.972917028940288 NA NA NA 0.000259264368889937 NA NA NA 9.58363540155255 NA NA NA 0.974618773559762 NA NA NA 0.000245244339521265 NA NA NA 9.06940320372229 NA NA NA 0.976559838210723 NA NA NA 0.000228164713943597
"rep13" NA NA NA 1.62247070457094 NA NA NA 0.993252111931718 NA NA NA 2.08629082432994e-05 NA NA NA 1.45630618759912 NA NA NA 0.99441200944601 NA NA NA 1.77718223661728e-05 NA NA NA 1.60996425215246 NA NA NA 0.993870124891389 NA NA NA 1.98685992098673e-05 NA NA NA 9.26366451545421 NA NA NA 0.9561623639251 NA NA NA 0.00014225918393338 NA NA NA 8.9734657276834 NA NA NA 0.958470403429322 NA NA NA 0.000138714422950277 NA NA NA 10.2057228663766 NA NA NA 0.95425856102793 NA NA NA 0.00015729108887409
"rep14" NA NA NA 2.30408357217959 NA NA NA 0.995065569647767 NA NA NA 5.14761941527324e-05 NA NA NA 2.51859516565439 NA NA NA 0.994372872516033 NA NA NA 5.99252355219433e-05 NA NA NA 2.07335281472731 NA NA NA 0.995668403541093 NA NA NA 4.69964181411457e-05 NA NA NA 14.6601860783824 NA NA NA 0.964157241927493 NA NA NA 0.00041828723650312 NA NA NA 13.1925492321165 NA NA NA 0.967143197381487 NA NA NA 0.000375966351221302 NA NA NA 13.8853829141804 NA NA NA 0.965314756735931 NA NA NA 0.000396976354865499
"rep15" NA NA NA 5.59146080629602 NA NA NA 0.985412856023651 NA NA NA 0.000132142177115268 NA NA NA 5.33791223939628 NA NA NA 0.986699041193408 NA NA NA 0.000124202572763241 NA NA NA 5.68806884075218 NA NA NA 0.985696923267389 NA NA NA 0.000135912048061328 NA NA NA 29.3429679297885 NA NA NA 0.926113894362962 NA NA NA 0.000752445356150922 NA NA NA 28.1383580737097 NA NA NA 0.929503392464606 NA NA NA 0.000725548809908539 NA NA NA 29.7748201645686 NA NA NA 0.926827875622033 NA NA NA 0.000763737265779324
"rep16" NA NA NA 1.29999085839044 NA NA NA 0.995160376866622 NA NA NA 1.51330240021431e-05 NA NA NA 1.77403936751239 NA NA NA 0.993028118425483 NA NA NA 2.25181846730015e-05 NA NA NA 1.41312538916136 NA NA NA 0.99479082187318 NA NA NA 1.71197483883989e-05 NA NA NA 13.632110337688 NA NA NA 0.936946882154701 NA NA NA 0.000217228793487892 NA NA NA 15.6482156458852 NA NA NA 0.930539675296956 NA NA NA 0.000247344060538471 NA NA NA 13.4992823695049 NA NA NA 0.939800249410111 NA NA NA 0.000215346489946391
"rep17" NA NA NA 2.48491544065027 NA NA NA 0.993204205982711 NA NA NA 4.66331466985474e-05 NA NA NA 2.20209344550126 NA NA NA 0.994290227241693 NA NA NA 4.01250830564994e-05 NA NA NA 2.46058516260361 NA NA NA 0.993506530613237 NA NA NA 4.63888224345652e-05 NA NA NA 17.7951931203147 NA NA NA 0.943796471559156 NA NA NA 0.000416988821908256 NA NA NA 17.5598215456978 NA NA NA 0.945976801206938 NA NA NA 0.000409285997802576 NA NA NA 18.2026732492013 NA NA NA 0.944442899417742 NA NA NA 0.000427758834217313
"rep18" NA NA NA 1.41957463981229 NA NA NA 0.99730273515025 NA NA NA 2.076275186902e-05 NA NA NA 1.43349292424222 NA NA NA 0.997205129968649 NA NA NA 2.23199005035469e-05 NA NA NA 1.35103256746222 NA NA NA 0.997508950758536 NA NA NA 2.02392017188372e-05 NA NA NA 7.7384330744219 NA NA NA 0.978721175839794 NA NA NA 0.000169262324521808 NA NA NA 7.64440034180408 NA NA NA 0.97897431665361 NA NA NA 0.000171790167262714 NA NA NA 6.89415413961697 NA NA NA 0.981262606361981 NA NA NA 0.000155446989701036
"rep19" NA NA NA 1.818333986499 NA NA NA 0.995998064098872 NA NA NA 3.57017243592318e-05 NA NA NA 2.15981442724406 NA NA NA 0.995158441254577 NA NA NA 4.43485487776556e-05 NA NA NA 2.09657510196698 NA NA NA 0.995237526524729 NA NA NA 4.4327416476485e-05 NA NA NA 18.2995518642312 NA NA NA 0.948475456191057 NA NA NA 0.000499565925935176 NA NA NA 21.5414634654288 NA NA NA 0.940750558622442 NA NA NA 0.000591422275702274 NA NA NA 17.9410651593513 NA NA NA 0.950626899870157 NA NA NA 0.000492577496674181
"rep20" NA NA NA 3.19276206264696 NA NA NA 0.991031676894246 NA NA NA 6.37891730725838e-05 NA NA NA 3.21526170001324 NA NA NA 0.991377428430866 NA NA NA 6.34897924532981e-05 NA NA NA 3.3219445603796 NA NA NA 0.991003194866587 NA NA NA 6.73987199370436e-05 NA NA NA 25.1935525984551 NA NA NA 0.926048394528784 NA NA NA 0.000583014771043381 NA NA NA 24.929282515879 NA NA NA 0.928304230660623 NA NA NA 0.000580824639488488 NA NA NA 23.2499276933424 NA NA NA 0.933900726498731 NA NA NA 0.000541776717269879
