"EBridge1" "EBridge2" "lasso1" "ridge1" "bSEM" "null"
"pmse.drug1" 0.753660710868115 0.746320293493577 0.761885340595635 0.753176214823548 1.00199212364861 0.979591836734694
"pmse.drug2" 0.948996952492634 0.948996952492634 0.94110301614946 0.949335729898752 0.968529432923082 0.979591836734694
"pmse.drug3" 0.651578977705457 0.651644650244933 0.641561700491075 0.647571138182114 1.0527900499775 0.979591836734694
"pmse.drug4" 0.722503660294555 0.722503660294555 0.683690933875597 0.72678699818207 1.08081116872302 0.979591836734694
"pmse.drug5" 0.705237380253225 0.702273986525447 0.737273382460458 0.704073240946868 1.16668324285252 0.979591836734694
"pmse.drug6" 0.968584599627205 0.968584599627205 0.966147904169151 0.970078478840708 1.07010341037744 0.979591836734694
"pmse.drug7" 0.720693941835026 0.720693941835026 0.687927252007595 0.710974232613507 0.885057950279547 0.979591836734694
"pmse.drug8" 1.03776833967734 1.03776833967734 0.984027926839378 1.0384687533583 1.03399005194567 0.979591836734694
"pmse.drug9" 0.894994053839995 0.894994053839995 0.863313580666793 0.898070730294781 1.16985947345673 0.979591836734694
"pmse.drug10" 0.692213664465894 0.695636126020127 0.693291021700571 0.692548889728364 1.11002555891188 0.979591836734694
"pmse.drug11" 0.929823955385865 0.929823955385865 0.968266005746846 0.927659364140984 1.05053782620556 0.979591836734694
"pmse.drug12" 0.749805797837182 0.753798368164303 0.776635663041847 0.735826755788295 1.09793297331824 0.979591836734694
"pmse.drug13" 0.903933381974544 0.903933381974545 0.870784767018795 0.901891952010397 0.959123720133901 0.979591836734694
"pmse.drug14" 0.732537543279153 0.732537543279153 0.753151174013798 0.731347222762391 0.953320640075705 0.979591836734694
"pmse.drug15" 0.700446101727528 0.700446101727528 0.696207943894738 0.697387693225543 0.988357090971642 0.979591836734694
"pmse.drug16" 0.792372272320136 0.792372272320136 0.788409338939275 0.791099246810536 0.949998506102496 0.979591836734694
"pmse.drug17" 1.01126392258409 1.01126392258409 1.04273989766037 1.04481715142942 0.990763937954173 0.979591836734694
"pmse.drug18" 0.573078678136286 0.570111531736711 0.618693035540708 0.571763524406348 0.921697946163972 0.979591836734694
"pmse.drug19" 0.573384755472395 0.573384755472395 0.539698299190241 0.573162793777119 1.16377113260815 0.979591836734694
"pmse.drug20" 0.764215727889179 0.765013433570981 0.788409794422772 0.764033208815798 1.01248216313496 0.979591836734694
"pmse.drug21" 0.804669306380821 0.797720958492488 0.903450168791478 0.81415369724807 1.00301926131879 0.979591836734694
"pmse.drug22" 0.887464467284657 0.887464467284656 0.910088900875751 0.885397050854275 0.966278880091742 0.979591836734694
"pmse.drug23" 0.98358525660824 0.98358525660824 0.999103602553231 0.98366700240072 1.00488371867556 0.979591836734694
"pmse.drug24" 0.81515591922821 0.81515591922821 0.87909308652314 0.80101446292836 0.961136200126637 0.979591836734694
"pmse.drug25" 0.519851634113138 0.519851634113138 0.512644612347854 0.515661448673627 0.911569981383195 0.979591836734694
"pmse.drug26" 0.763226411539225 0.763226411539225 0.734473809131096 0.766091763661836 1.04521261885348 0.979591836734694
"pmse.drug27" 0.719848782830793 0.719848782830793 0.694431963634282 0.720076098995112 1.02285509584411 0.979591836734694
"pmse.drug28" 1.04634427171271 1.0517269981217 1.0362468349248 1.04625588504976 0.918308437178399 0.979591836734694
"pmse.drug29" 0.820420363847342 0.813039626394361 0.857828185447853 0.832603490367926 1.08426376376677 0.979591836734694
"pmse.drug30" 0.645544472359105 0.645544472359105 0.572274825767366 0.648792571166752 0.967149676482263 0.979591836734694
"pmse.drug31" 0.880341425756198 0.876414570689396 0.884438010883394 0.882240452800437 0.986281137240435 0.979591836734694
"pmse.drug32" 0.808614175263609 0.808614175263609 0.787067630699164 0.810823810151351 1.18009172194601 0.979591836734694
"pmse.drug33" 0.8040121122563 0.8040121122563 0.822229483384828 0.803944749416215 1.03890379582719 0.979591836734694
"pmse.drug34" 0.905167495989889 0.904797360890976 0.931455359130819 0.902569642477322 0.934337313092064 0.979591836734694
"pmse.drug35" 0.750198321866144 0.750198321866144 0.777134595705981 0.754319131421599 1.01966360739391 0.979591836734694
"pmse.drug36" 0.900678856316264 0.900678856316264 0.890346025939295 0.899699792396299 1.00119615680262 0.979591836734694
"pmse.drug37" 0.802287757761145 0.801194964967082 0.833843093753495 0.800642688389426 0.937109995339915 0.979591836734694
"pmse.drug38" 0.678336113054799 0.678336113054799 0.679976224399632 0.676848600778869 1.12694705104022 0.979591836734694
"pmse.drug39" 0.980325878065849 0.980659098115364 1.00846828697961 0.979591836734694 1.00895322662803 0.979591836734694
"pmse.drug40" 0.857034057239469 0.857034057239469 0.83653623364643 0.856190058823663 1.04137194681133 0.979591836734694
"pmse.drug41" 0.979991629910726 0.973451243034571 0.990011748060488 0.976889810716856 1.06987720031757 0.979591836734694
"pmse.drug42" 0.820252562868607 0.820252562868607 0.828009625165256 0.817599273996374 0.983886833346644 0.979591836734694
"pmse.drug43" 1.10289574193121 1.10289574193121 1.13436562863078 1.11083755133767 0.959519002634637 0.979591836734694
